,VRNS
Price/Earnings (TTM),
Price/Sales (TTM),5.10881
Price/Book (MRQ),4.39152
Price/Cash Flow (TTM),
5yr Low,15.61
5yr High,75.33
5yr Avg Return,0.15795
EPS Growth 5yr,
Revenue Growth 5yr,0.18656860000000003
Dividend Growth 5yr,
Short Int Current Month,3303563.0
Short Int Prev Month,3469793.0
Short Int Pct of Float,0.0304791
Days to Cover,0.87778
Float,108.3992
Shares Outstanding,110.2201
Institutions Holding Shares,345.0
% Held by Institutions,0.9765349999999999
FCF Growth 5yr,-3.3838383838383836
