,VRNS
% Above Low,0.3517
% Held by Institutions,0.9765
52-Wk Range,['15.61 - 53.85']
Annual Dividend $,
Annual Dividend %,
Ask,21.12
Ask Size,900.0
B/A Ratio,2.3333333333333335
B/A Size,2100x900
Beta,1.0
Bid,20.1
Bid Size,2100.0
Closing Price,21.1
Day Change $,-0.11
Day Change %,-0.0052
Day High,21.35
Day Low,20.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.27
Ex-dividend Date,No dividend
Historical Volatility,0.78
Last (size),36.0
Last (time),3:59p ET 11/28/22
Market Cap,2.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,21.21
Short Interest,0.0305
Today's Open,20.91
Volume,1192512.0
Volume 10-day Avg,1448428.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-1.1354166666666667
Growth 1yr High Est,-1.1666666666666667
Growth 1yr Consensus Est,-1.1510416666666667
Growth 2yr Low Est,-0.6830929487179487
Growth 2yr High Est,1.6166666666666667
Growth 2yr Consensus Est,0.466786858974359
Growth 5yr Low Est,-0.34154647435897434
Growth 5yr High Est,0.8083333333333333
Growth 5yr Consensus Est,0.2333934294871795
Growth 5yr Actual/Est,-0.6082173874512584
Growth 3yr Historic,-0.841733870967742
Price/Earnings (TTM),
Price/Sales (TTM),5.10881
Price/Book (MRQ),4.39152
Price/Cash Flow (TTM),
5yr Low,15.61
5yr High,75.33
5yr Avg Return,0.15795
EPS Growth 5yr,
Revenue Growth 5yr,0.18656860000000003
Dividend Growth 5yr,
Short Int Current Month,3303563.0
Short Int Prev Month,3469793.0
Short Int Pct of Float,0.0304791
Days to Cover,0.87778
Float,108.3992
Shares Outstanding,110.2201
Institutions Holding Shares,345.0
FCF Growth 5yr,-3.3838383838383836
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8466
Operating Profit Margin (TTM),-0.2821
Net Profit Margin (TTM),-0.3031
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.21100000000000002
EPS Growth (TTM),-0.1772
Revenue Growth (MRQ),0.10640000000000001
Revenue Growth (TTM),0.2755
Return On Equity (TTM),-0.25010000000000004
Return On Assets (TTM),-0.131
Return On Investment (TTM),-0.1607
Revenue Per Employee (TTM),221596.0
Total Debt/Total Capital (MRQ),0.31829999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-02-08 00:00:00
theStreet since,2022-02-08 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-02-11 00:00:00
cfra since,
marketEdge opinion since,
