,URBN
% Below High,0.1575
% Held by Institutions,0.7894
52-Wk Range,['17.81 - 33.77']
Annual Dividend $,
Annual Dividend %,
Ask,28.77
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,28.48
Bid Size,100.0
Closing Price,28.45
Day Change $,0.16
Day Change %,0.005699999999999999
Day High,28.72
Day Low,27.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.78
Ex-dividend Date,No dividend
Historical Volatility,0.524
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,2.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.92
Prev Close,28.29
Short Interest,0.12
Today's Open,27.91
Volume,2455886.0
Volume 10-day Avg,2741913.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.45483870967741935
Growth 1yr High Est,-0.46820809248554907
Growth 1yr Consensus Est,-0.4615234010814842
Growth 2yr Low Est,-0.1504962779156327
Growth 2yr High Est,0.029482910278964602
Growth 2yr Consensus Est,-0.060506683818334045
Growth 5yr Low Est,-9.0447752963882
Growth 5yr High Est,5.756497378782466
Growth 5yr Consensus Est,-1.6441389588028665
Growth 5yr Actual/Est,77.70880570185035
Growth 3yr Historic,77.75126262626263
Price/Earnings (TTM),15.91722
Price/Sales (TTM),0.5498
Price/Book (MRQ),1.50002
Price/Cash Flow (TTM),9.5028
5yr Low,12.28
5yr High,52.5
5yr Avg Return,-0.00996666666666667
EPS Growth 5yr,0.1096755
Revenue Growth 5yr,0.0510805
Dividend Growth 5yr,
Short Int Current Month,7253479.0
Short Int Prev Month,8575634.0
Short Int Pct of Float,0.12001429999999999
Days to Cover,4.17124
Float,60.42208
Shares Outstanding,92.17449
Institutions Holding Shares,286.0
FCF Growth 5yr,-0.865526978368884
"Price/Earnings (TTM, GAAP)",15.92
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.30010000000000003
Operating Profit Margin (TTM),0.0512
Net Profit Margin (TTM),0.0357
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3699
EPS Growth (TTM),-0.4065
Revenue Growth (MRQ),-0.0068000000000000005
Revenue Growth (TTM),0.1017
Return On Equity (TTM),0.0971
Return On Assets (TTM),0.044500000000000005
Return On Investment (TTM),0.0609
Revenue Per Employee (TTM),490980.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.6
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-09-09 00:00:00
theStreet since,2022-11-15 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-05-25 00:00:00
ford since,2022-09-09 00:00:00
marketEdge opinion since,
