,URBN
Price/Earnings (TTM),15.91722
Price/Sales (TTM),0.5498
Price/Book (MRQ),1.50002
Price/Cash Flow (TTM),9.5028
5yr Low,12.28
5yr High,52.5
5yr Avg Return,-0.00996666666666667
EPS Growth 5yr,0.1096755
Revenue Growth 5yr,0.0510805
Dividend Growth 5yr,
Short Int Current Month,7253479.0
Short Int Prev Month,8575634.0
Short Int Pct of Float,0.12001429999999999
Days to Cover,4.17124
Float,60.42208
Shares Outstanding,92.17449
Institutions Holding Shares,286.0
% Held by Institutions,0.789351
FCF Growth 5yr,-0.865526978368884
