,EGBN
% Above Low,0.11220000000000001
% Held by Institutions,0.7524
52-Wk Range,['41.97 - 63.84']
Annual Dividend $,1.8
Annual Dividend %,0.038599999999999995
Ask,47.01
Ask Size,100.0
B/A Ratio,12.0
B/A Size,1200x100
Beta,0.9
Bid,46.35
Bid Size,1200.0
Closing Price,46.68
Day Change $,0.6
Day Change %,0.013000000000000001
Day High,47.07
Day Low,45.69
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",4.37
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.27399999999999997
Last (size),15.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",10.68
Prev Close,46.08
Short Interest,0.0233
Today's Open,46.24
Volume,52901.0
Volume 10-day Avg,119024.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.1516853932584269
Growth 1yr High Est,-0.1718464351005483
Growth 1yr Consensus Est,-0.1617659141794876
Growth 2yr Low Est,-0.04604137212590226
Growth 2yr High Est,-0.05612189304696297
Growth 2yr Consensus Est,-0.05108163258643261
Growth 5yr Low Est,0.04712319882913521
Growth 5yr High Est,0.032734508021973
Growth 5yr Consensus Est,0.039928853425554106
Growth 5yr Actual/Est,0.052318138603544395
Growth 3yr Historic,0.08225443287362791
Price/Earnings (TTM),10.67674
Price/Sales (TTM),4.20476
Price/Book (MRQ),1.22777
Price/Cash Flow (TTM),10.35279
5yr Low,23.08
5yr High,69.8
5yr Avg Return,-0.03759999999999999
EPS Growth 5yr,0.1407134
Revenue Growth 5yr,0.049843599999999995
Dividend Growth 5yr,
Short Int Current Month,727586.0
Short Int Prev Month,689668.0
Short Int Pct of Float,0.023318699999999998
Days to Cover,4.86546
Float,31.24735
Shares Outstanding,31.91867
Institutions Holding Shares,252.0
FCF Growth 5yr,0.13263971007341743
"Price/Earnings (TTM, GAAP)",10.68
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5471
Net Profit Margin (TTM),0.3961
Annual Dividend Yield,0.0386
Dividend Change %,0.5909000000000001
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.3753
EPS Growth (TTM),-0.1955
Revenue Growth (MRQ),0.16620000000000001
Revenue Growth (TTM),0.0235
Return On Equity (TTM),0.11
Return On Assets (TTM),0.0126
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-06-24 00:00:00
ford since,2022-06-24 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2020-12-04 00:00:00
marketEdge opinion since,
