,EGBN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.68,11.43,Valuation,0.9343832020997376
Price/Sales (TTM),4.2,3.3,Valuation,1.272727272727273
Price/Book (MRQ),1.23,1.46,Valuation,0.8424657534246576
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.5471,0.34240000000000004,Profitability,1.5978387850467288
Net Profit Margin (TTM),0.3961,0.2812,Profitability,1.408605974395448
Annual Dividend Yield,0.0386,0.028700000000000003,Dividend,1.3449477351916375
Dividend Change %,0.5909000000000001,-0.0086,Dividend,-68.7093023255814
"Dividend Growth Rate, 3 Years",,0.0734,Dividend,
EPS Growth (MRQ),1.3753,-0.0335,Gowth rates,-41.05373134328358
EPS Growth (TTM),-0.1955,-0.09960000000000001,Gowth rates,1.96285140562249
Revenue Growth (MRQ),0.16620000000000001,0.5429,Gowth rates,0.306133726284767
Revenue Growth (TTM),0.0235,0.2466,Gowth rates,0.09529602595296026
Return On Equity (TTM),0.11,0.1135,Effectiveness,0.9691629955947136
Return On Assets (TTM),0.0126,0.0099,Effectiveness,1.2727272727272727
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0009,Financial strength,0.0
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
