,ETH
% Below High,0.0415
% Held by Institutions,0.8464
52-Wk Range,['19.60 - 29.90']
Annual Dividend $,1.28
Annual Dividend %,0.0447
Ask,29.8
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.2
Bid,25.95
Bid Size,100.0
Closing Price,28.66
Day Change $,-0.06
Day Change %,-0.0021
Day High,29.13
Day Low,28.6
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",4.42
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.397
Last (size),37.0
Last (time),5:00p ET 11/25/22
Market Cap,726.5M
"P/E Ratio (TTM, GAAP)",6.48
Prev Close,28.72
Short Interest,0.1562
Today's Open,28.7
Volume,131823.0
Volume 10-day Avg,245166.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.6055045871559632
Growth 1yr High Est,0.521186440677966
Growth 1yr Consensus Est,0.5633455139169646
Growth 2yr Low Est,0.20275229357798158
Growth 2yr High Est,0.17842051838912232
Growth 2yr Consensus Est,0.19058640598355195
Growth 5yr Low Est,0.13516819571865438
Growth 5yr High Est,0.11894701225941488
Growth 5yr Consensus Est,0.12705760398903462
Growth 5yr Actual/Est,0.9862015702403852
Growth 3yr Historic,1.0539800389483933
Price/Earnings (TTM),6.48001
Price/Sales (TTM),0.85469
Price/Book (MRQ),1.74722
Price/Cash Flow (TTM),5.65222
5yr Low,8.38
5yr High,32.15
5yr Avg Return,0.0284
EPS Growth 5yr,0.2560138
Revenue Growth 5yr,0.0138569
Dividend Growth 5yr,0.0978173
Short Int Current Month,3554188.0
Short Int Prev Month,3552302.0
Short Int Pct of Float,0.15616649999999999
Days to Cover,11.44839
Float,22.75896
Shares Outstanding,25.34742
Institutions Holding Shares,259.0
FCF Growth 5yr,0.35646002580257824
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-11-03 00:00:00
researchTeam since,2022-09-16 00:00:00
ford since,2022-09-16 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
