,ANET,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",36.99,26.06,Valuation,1.4194167306216425
Price/Sales (TTM),10.56,5.09,Valuation,2.074656188605108
Price/Book (MRQ),9.46,4.51,Valuation,2.097560975609756
"PEG Ratio (TTM, GAAP)",1.47,2.07,Valuation,0.7101449275362319
Gross Profit Margin (TTM),0.6182,0.5751,Profitability,1.074943488089028
Operating Profit Margin (TTM),0.3369,0.2231,Profitability,1.510085163603765
Net Profit Margin (TTM),0.2963,0.1819,Profitability,1.62891698735569
Annual Dividend Yield,,0.0201,Dividend,
Dividend Change %,,0.052300000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0484,Dividend,
EPS Growth (MRQ),0.1918,-0.16579999999999998,Gowth rates,-1.1568154402895057
EPS Growth (TTM),0.4905,0.1262,Gowth rates,3.8866877971473848
Revenue Growth (MRQ),0.1187,0.1365,Gowth rates,0.8695970695970695
Revenue Growth (TTM),0.4178,0.0862,Gowth rates,4.846867749419954
Return On Equity (TTM),0.2823,0.195,Effectiveness,1.4476923076923076
Return On Assets (TTM),0.20079999999999998,0.1241,Effectiveness,1.6180499597099112
Return On Investment (TTM),0.2465,0.1684,Effectiveness,1.4637767220902613
Revenue Per Employee (TTM),1313136.0,688581.0,Effectiveness,1.9070174750682927
Total Debt/Total Capital (MRQ),0.0,0.36450000000000005,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0002,Financial strength,
Quick Ratio (MRQ),3.04,1.51,Financial strength,2.013245033112583
Interest Coverage (MRQ),,1.83,Financial strength,
