,ANET
% Below High,0.0862
% Held by Institutions,0.6618
52-Wk Range,['89.12 - 148.57']
Annual Dividend $,
Annual Dividend %,
Ask,136.2
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.3
Bid,135.01
Bid Size,500.0
Closing Price,135.76
Day Change $,-1.43
Day Change %,-0.0104
Day High,137.35
Day Low,135.63
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.67
Ex-dividend Date,No dividend
Historical Volatility,0.436
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,41.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.99
Prev Close,137.19
Short Interest,0.0138
Today's Open,137.23
Volume,644909.0
Volume 10-day Avg,2053438.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-13 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.5839416058394158
Growth 1yr High Est,0.5800711743772242
Growth 1yr Consensus Est,0.58200639010832
Growth 2yr Low Est,0.3495744895556526
Growth 2yr High Est,0.4443148664678913
Growth 2yr Consensus Est,0.39694467801177197
Growth 5yr Low Est,-0.014355535232398908
Growth 5yr High Est,0.0359125860645253
Growth 5yr Consensus Est,0.010778525416063195
Growth 5yr Actual/Est,0.24184278212526342
Growth 3yr Historic,0.05094895048635997
Price/Earnings (TTM),36.98971
Price/Sales (TTM),10.55528
Price/Book (MRQ),9.4583
Price/Cash Flow (TTM),33.93999
5yr Low,39.16
5yr High,148.57
5yr Avg Return,0.2008
EPS Growth 5yr,0.3333744
Revenue Growth 5yr,0.211588
Dividend Growth 5yr,
Short Int Current Month,3236567.0
Short Int Prev Month,4011933.0
Short Int Pct of Float,0.013823799999999999
Days to Cover,1.01524
Float,234.1299
Shares Outstanding,305.5726
Institutions Holding Shares,1117.0
FCF Growth 5yr,0.029874081208416985
"Price/Earnings (TTM, GAAP)",36.99
"PEG Ratio (TTM, GAAP)",1.47
Gross Profit Margin (TTM),0.6182
Operating Profit Margin (TTM),0.3369
Net Profit Margin (TTM),0.2963
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1918
EPS Growth (TTM),0.4905
Revenue Growth (MRQ),0.1187
Revenue Growth (TTM),0.4178
Return On Equity (TTM),0.2823
Return On Assets (TTM),0.20079999999999998
Return On Investment (TTM),0.2465
Revenue Per Employee (TTM),1313136.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),3.04
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2019-11-01 00:00:00
cfra since,2019-11-01 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2016-06-07 00:00:00
