,RTX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",32.5,50.64,Valuation,0.641785150078989
Price/Sales (TTM),2.17,4.74,Valuation,0.45780590717299574
Price/Book (MRQ),2.04,4.28,Valuation,0.4766355140186916
"PEG Ratio (TTM, GAAP)",2.86,1.95,Valuation,1.4666666666666666
Gross Profit Margin (TTM),0.20500000000000002,0.19460000000000002,Profitability,1.05344295991778
Operating Profit Margin (TTM),0.0694,-0.5263,Profitability,-0.13186395591867756
Net Profit Margin (TTM),0.0701,-0.5391,Profitability,-0.13003153403821183
Annual Dividend Yield,0.0226,0.0139,Dividend,1.6258992805755397
Dividend Change %,-0.0718,0.0564,Dividend,-1.273049645390071
"Dividend Growth Rate, 3 Years",-0.109,0.0055000000000000005,Dividend,-19.818181818181817
EPS Growth (MRQ),0.07110000000000001,-3.8235,Gowth rates,-0.018595527657905064
EPS Growth (TTM),0.3482,0.2595,Gowth rates,1.3418111753371869
Revenue Growth (MRQ),0.039,0.0689,Gowth rates,0.5660377358490566
Revenue Growth (TTM),0.0355,0.0147,Gowth rates,2.4149659863945576
Return On Equity (TTM),0.0633,0.1825,Effectiveness,0.34684931506849315
Return On Assets (TTM),0.0292,0.047,Effectiveness,0.6212765957446809
Return On Investment (TTM),0.0384,0.0521,Effectiveness,0.7370441458733205
Revenue Per Employee (TTM),379454.0,411752.0,Effectiveness,0.9215595795527405
Total Debt/Total Capital (MRQ),0.3179,0.5861,Financial strength,0.5423989080361714
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001,-0.0001,Financial strength,-7.000000000000001
Quick Ratio (MRQ),0.82,1.06,Financial strength,0.7735849056603773
Interest Coverage (MRQ),4.76,7.88,Financial strength,0.6040609137055838
