,RTX
% Below High,0.0818
% Held by Institutions,0.778
52-Wk Range,['79.00 - 106.02']
Annual Dividend $,2.2
Annual Dividend %,0.0226
Ask,97.37
Ask Size,700.0
B/A Ratio,0.42857142857142855
B/A Size,300x700
Beta,1.1
Bid,97.34
Bid Size,300.0
Day Change $,-0.12
Day Change %,-0.0012
Day High,98.0
Day Low,96.93
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",3.0
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.271
Last (size),100.0
Last (time),1:22p ET 11/28/22
Market Cap,143.2B
"P/E Ratio (TTM, GAAP)",32.5
Prev Close,97.47
Price,97.35
Short Interest,0.005699999999999999
Today's Open,97.07
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.12530120481927698
Growth 1yr High Est,0.12646370023419196
Growth 1yr Consensus Est,0.12588245252673447
Growth 2yr Low Est,0.07228657671370697
Growth 2yr High Est,0.1349574218426678
Growth 2yr Consensus Est,0.10362199927818738
Growth 5yr Low Est,-0.08577029189006008
Growth 5yr High Est,-0.05297031820487971
Growth 5yr Consensus Est,-0.0693703050474699
Growth 5yr Actual/Est,0.021755804166195936
Growth 3yr Historic,-0.026347240330291233
Price/Earnings (TTM),32.50387
Price/Sales (TTM),2.17019
Price/Book (MRQ),2.0415
Price/Cash Flow (TTM),16.21993
5yr Low,48.05
5yr High,158.44
5yr Avg Return,0.02573333333333332
EPS Growth 5yr,-0.1587451
Revenue Growth 5yr,0.0237997
Dividend Growth 5yr,-0.0520998
Short Int Current Month,8347296.0
Short Int Prev Month,7084552.0
Short Int Pct of Float,0.0056841
Days to Cover,1.70713
Float,1468.554
Shares Outstanding,1470.061
Institutions Holding Shares,2603.0
FCF Growth 5yr,-19.893376803512634
"Price/Earnings (TTM, GAAP)",32.5
"PEG Ratio (TTM, GAAP)",2.86
Gross Profit Margin (TTM),0.20500000000000002
Operating Profit Margin (TTM),0.0694
Net Profit Margin (TTM),0.0701
Annual Dividend Yield,0.0226
Dividend Change %,-0.0718
"Dividend Growth Rate, 3 Years",-0.109
EPS Growth (MRQ),0.07110000000000001
EPS Growth (TTM),0.3482
Revenue Growth (MRQ),0.039
Revenue Growth (TTM),0.0355
Return On Equity (TTM),0.0633
Return On Assets (TTM),0.0292
Return On Investment (TTM),0.0384
Revenue Per Employee (TTM),379454.0
Total Debt/Total Capital (MRQ),0.3179
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),0.82
Interest Coverage (MRQ),4.76
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-12-03 00:00:00
theStreet since,2021-07-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-26 00:00:00
ford since,2021-12-03 00:00:00
marketEdge opinion since,
