,SOI
% Below High,0.2594
% Held by Institutions,0.8540000000000001
52-Wk Range,['6.11 - 14.61']
Annual Dividend $,0.42
Annual Dividend %,0.0384
Ask,10.83
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,10.81
Bid Size,200.0
Day Change $,-0.11
Day Change %,-0.0101
Day High,10.95
Day Low,10.7
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",0.51
Ex-dividend,2022-12-05 00:00:00
Ex-dividend Date,12/05/22
Historical Volatility,0.633
Last (size),100.0
Last (time),2:53p ET 11/28/22
Market Cap,356.4M
"P/E Ratio (TTM, GAAP)",21.55
Prev Close,10.93
Price,10.82
Short Interest,0.021099999999999997
Today's Open,10.7
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.5789473684210527
Growth 2yr High Est,0.7777777777777779
Growth 2yr Consensus Est,0.6783625730994153
Growth 5yr Low Est,0.5789473684210527
Growth 5yr High Est,0.7777777777777779
Growth 5yr Consensus Est,0.6783625730994153
Growth 5yr Actual/Est,-4.020670995670996
Growth 3yr Historic,-0.42840909090909085
Price/Earnings (TTM),21.54586
Price/Sales (TTM),1.80707
Price/Book (MRQ),2.31923
Price/Cash Flow (TTM),9.20765
5yr Low,4.5
5yr High,23.98
5yr Avg Return,0.012783333333333336
EPS Growth 5yr,
Revenue Growth 5yr,0.5437387
Dividend Growth 5yr,
Short Int Current Month,664764.0
Short Int Prev Month,941622.0
Short Int Pct of Float,0.0211133
Days to Cover,1.92014
Float,31.62776
Shares Outstanding,46.6069
Institutions Holding Shares,168.0
FCF Growth 5yr,0.70522736390264
"Price/Earnings (TTM, GAAP)",21.55
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3057
Operating Profit Margin (TTM),0.1187
Net Profit Margin (TTM),0.0945
Annual Dividend Yield,0.0384
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.6134000000000001
EPS Growth (MRQ),0.3325
EPS Growth (TTM),6.0927999999999995
Revenue Growth (MRQ),0.0647
Revenue Growth (TTM),1.0354
Return On Equity (TTM),0.0764
Return On Assets (TTM),0.0609
Return On Investment (TTM),0.091
Revenue Per Employee (TTM),1574860.0
Total Debt/Total Capital (MRQ),0.0296
Change in Debt/Total Capital Quarter over Quarter,0.7948000000000001
Quick Ratio (MRQ),1.48
Interest Coverage (MRQ),104.01
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-08-03 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
