,ONB
% Below High,0.08839999999999999
% Held by Institutions,0.7737999999999999
52-Wk Range,['14.22 - 20.81']
Annual Dividend $,0.56
Annual Dividend %,0.029500000000000002
Ask,19.26
Ask Size,100.0
Ask close,23.11
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,18.24
Bid Size,100.0
Bid close,14.35
Change Since Close,0.29| |(1.53%)
Closing Price,18.97
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.05
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.27
Last (size),10.0
Last (time),1:00p ET 11/25/22
Last Trade,19.26
Market Cap,5.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.01
Prev Close,18.97
Short Interest,0.0236
Today's Open,
Volume,10.0
Volume 10-day Avg,1511457.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.5238095238095237
Growth 1yr High Est,0.49629629629629624
Growth 1yr Consensus Est,0.51005291005291
Growth 2yr Low Est,0.3348214285714286
Growth 2yr High Est,0.3372570590392372
Growth 2yr Consensus Est,0.3360392438053329
Growth 5yr Low Est,0.14081496960486325
Growth 5yr High Est,0.1513871502092738
Growth 5yr Consensus Est,0.1461010599070685
Growth 5yr Actual/Est,0.13841369992425395
Growth 3yr Historic,0.06439151747655586
Price/Earnings (TTM),18.00955
Price/Sales (TTM),4.056
Price/Book (MRQ),1.17888
Price/Cash Flow (TTM),16.88894
5yr Low,11.19
5yr High,21.28
5yr Avg Return,0.011316666666666666
EPS Growth 5yr,0.0983324
Revenue Growth 5yr,0.0739026
Dividend Growth 5yr,0.014932
Short Int Current Month,6819336.0
Short Int Prev Month,8587023.0
Short Int Pct of Float,0.0236045
Days to Cover,3.85218
Float,289.1169
Shares Outstanding,292.89
Institutions Holding Shares,413.0
FCF Growth 5yr,0.6304367469862696
"Price/Earnings (TTM, GAAP)",18.01
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.25620000000000004
Net Profit Margin (TTM),0.2071
Annual Dividend Yield,0.029500000000000002
Dividend Change %,0.3333
"Dividend Growth Rate, 3 Years",0.025
EPS Growth (MRQ),0.2243
EPS Growth (TTM),-0.409
Revenue Growth (MRQ),0.1472
Revenue Growth (TTM),0.7609
Return On Equity (TTM),0.0706
Return On Assets (TTM),0.008100000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-30 00:00:00
theStreet since,2022-08-30 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
