,UGI
% Above Low,0.2321
% Held by Institutions,0.8312
52-Wk Range,['31.19 - 47.04']
Annual Dividend $,1.44
Annual Dividend %,0.0363
Ask,42.0
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,38.2
Bid Size,300.0
Closing Price,38.43
Day Change $,-1.28
Day Change %,-0.0322
Day High,39.61
Day Low,38.39
Dividend Pay Date,2023-01-01 00:00:00
"EPS (TTM, GAAP)",4.96
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.30100000000000005
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,8.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.01
Prev Close,39.71
Short Interest,0.0233
Today's Open,39.11
Volume,1459133.0
Volume 10-day Avg,1567819.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.003597122302158251
Growth 1yr High Est,0.09310344827586214
Growth 1yr Consensus Est,0.044753162986851946
Growth 2yr Low Est,0.09386930888502187
Growth 2yr High Est,0.07809746546285223
Growth 2yr Consensus Est,0.08598338717393705
Growth 5yr Low Est,0.03507678898165375
Growth 5yr High Est,0.03567153435228402
Growth 5yr Consensus Est,0.035374161666968884
Growth 5yr Actual/Est,0.05918388449088405
Growth 3yr Historic,0.022085990484866896
Price/Earnings (TTM),8.00963
Price/Sales (TTM),0.82395
Price/Book (MRQ),1.40964
Price/Cash Flow (TTM),5.2304
5yr Low,21.75
5yr High,59.31
5yr Avg Return,-0.020150000000000005
EPS Growth 5yr,0.1506869
Revenue Growth 5yr,0.1054921
Dividend Growth 5yr,0.07704710000000001
Short Int Current Month,4853025.0
Short Int Prev Month,4412426.0
Short Int Pct of Float,0.0232892
Days to Cover,4.42424
Float,208.383
Shares Outstanding,209.6903
Institutions Holding Shares,717.0
FCF Growth 5yr,1.0820037986704654
"Price/Earnings (TTM, GAAP)",8.01
"PEG Ratio (TTM, GAAP)",1.21
Gross Profit Margin (TTM),-1.0295999999999998
Operating Profit Margin (TTM),0.1638
Net Profit Margin (TTM),0.1063
Annual Dividend Yield,0.0363
Dividend Change %,0.0449
"Dividend Growth Rate, 3 Years",0.0891
EPS Growth (MRQ),35.0189
EPS Growth (TTM),-0.26920000000000005
Revenue Growth (MRQ),-0.0487
Revenue Growth (TTM),0.35710000000000003
Return On Equity (TTM),0.19140000000000001
Return On Assets (TTM),0.0626
Return On Investment (TTM),0.0727
Revenue Per Employee (TTM),2150213.0
Total Debt/Total Capital (MRQ),0.5354
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),1.28
Interest Coverage (MRQ),4.74
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-25 00:00:00
theStreet since,2022-10-25 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
