,TALO
% Below High,0.2526
% Held by Institutions,0.9523
52-Wk Range,['8.57 - 25.49']
Annual Dividend $,
Annual Dividend %,
Ask,19.05
Ask Size,600.0
B/A Ratio,1.5
B/A Size,900x600
Beta,2.4
Bid,19.04
Bid Size,900.0
Day Change $,-1.3
Day Change %,-0.0639
Day High,19.6
Day Low,18.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.5
Ex-dividend Date,No dividend
Historical Volatility,0.708
Last (size),200.0
Last (time),3:57p ET 11/28/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",3.7
Prev Close,20.35
Price,19.05
Short Interest,0.0934
Today's Open,19.33
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.17006802721088432
Growth 2yr High Est,0.7062937062937062
Growth 2yr Consensus Est,0.4381808667522953
Growth 5yr Low Est,0.17006802721088432
Growth 5yr High Est,0.7062937062937062
Growth 5yr Consensus Est,0.4381808667522953
Growth 5yr Actual/Est,-1.4637735933348828
Growth 3yr Historic,-0.9841451040081176
Price/Earnings (TTM),3.69997
Price/Sales (TTM),0.99324
Price/Book (MRQ),1.45438
Price/Cash Flow (TTM),1.83106
5yr Low,5.0
5yr High,37.64
5yr Avg Return,0.15603999999999998
EPS Growth 5yr,
Revenue Growth 5yr,0.3690659
Dividend Growth 5yr,
Short Int Current Month,6495439.0
Short Int Prev Month,7449870.0
Short Int Pct of Float,0.0934029
Days to Cover,5.46044
Float,69.63788
Shares Outstanding,82.57033
Institutions Holding Shares,276.0
FCF Growth 5yr,0.9102978184424112
"Price/Earnings (TTM, GAAP)",3.7
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8181999999999999
Operating Profit Margin (TTM),0.4621
Net Profit Margin (TTM),0.272
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2812
EPS Growth (TTM),1.6141
Revenue Growth (MRQ),-0.2735
Revenue Growth (TTM),0.6476999999999999
Return On Equity (TTM),0.5029
Return On Assets (TTM),0.16440000000000002
Return On Investment (TTM),0.20879999999999999
Revenue Per Employee (TTM),3818813.0
Total Debt/Total Capital (MRQ),0.3679
Change in Debt/Total Capital Quarter over Quarter,-0.0034999999999999996
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-21 00:00:00
theStreet since,2022-08-05 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
