,TALO
Price/Earnings (TTM),3.69997
Price/Sales (TTM),0.99324
Price/Book (MRQ),1.45438
Price/Cash Flow (TTM),1.83106
5yr Low,5.0
5yr High,37.64
5yr Avg Return,0.15603999999999998
EPS Growth 5yr,
Revenue Growth 5yr,0.3690659
Dividend Growth 5yr,
Short Int Current Month,6495439.0
Short Int Prev Month,7449870.0
Short Int Pct of Float,0.0934029
Days to Cover,5.46044
Float,69.63788
Shares Outstanding,82.57033
Institutions Holding Shares,276.0
% Held by Institutions,0.9522799999999999
FCF Growth 5yr,0.9102978184424112
