,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,37.64,30.93,31.34,18.93,25.49,,,,,
low,14.6,15.42,5.0,8.15,9.08,,,,,
change,-0.5337,0.9553,-0.7295,0.1529,0.9352,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,70.0,78.0,108.0,64.0,Balance Sheet
Short Term Investments,,,,,,1.0,0.0,4.0,27.0,Balance Sheet
Cash and Short Term Invs,,,,,,71.0,78.0,112.0,92.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,173.0,242.0,245.0,150.0,Balance Sheet
Other Receivables,,,,,,46.0,36.0,37.0,52.0,Balance Sheet
"Total Receivables, Net",,,,,,219.0,278.0,282.0,202.0,Balance Sheet
Prepaid Expenses,,,,,,48.0,43.0,77.0,76.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,2.0,2.0,4.0,2.0,Balance Sheet
Total Current Assets,,,,,,340.0,402.0,475.0,372.0,Balance Sheet
Natural Resources,,,,,,5452.0,5532.0,5617.0,5737.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,35.0,35.0,36.0,36.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,5486.0,5567.0,5652.0,5773.0,Balance Sheet
Accumulated Depreciation,,,,,,-3092.0,-3190.0,-3295.0,-3387.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,2394.0,2377.0,2358.0,2386.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,,,,,3.0,1.0,2.0,Balance Sheet
LT Investments - Other,,,,,,3.0,0.0,3.0,20.0,Balance Sheet
Long Term Investments,,,,,,3.0,3.0,4.0,22.0,Balance Sheet
Other Long Term Assets,,,,,,30.0,29.0,26.0,34.0,Balance Sheet
Total Assets,,,,,,2767.0,2810.0,2863.0,2813.0,Balance Sheet
Accounts Payable,,,,,,86.0,91.0,102.0,110.0,Balance Sheet
Accrued Expenses,,,,,,229.0,215.0,272.0,255.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,33.0,35.0,27.0,20.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,253.0,365.0,300.0,171.0,Balance Sheet
