,MCS
% Above Low,0.2066
% Held by Institutions,0.9481999999999999
52-Wk Range,['13.41 - 19.24']
Annual Dividend $,0.2
Annual Dividend %,0.0124
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.5
Bid,14.27
Bid Size,
Closing Price,16.18
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",0.03
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.326
Last (size),11.0
Last (time),5:00p ET 11/25/22
Market Cap,510.4M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",496.47
Prev Close,16.18
Short Interest,0.1726
Today's Open,
Volume,121552.0
Volume 10-day Avg,157792.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-5.8
Growth 2yr High Est,inf
Growth 2yr Consensus Est,inf
Growth 5yr Low Est,-5.8
Growth 5yr High Est,inf
Growth 5yr Consensus Est,inf
Growth 5yr Actual/Est,-8.42385982562039
Growth 3yr Historic,-1.1773809523809524
Price/Earnings (TTM),496.4713
Price/Sales (TTM),0.74588
Price/Book (MRQ),1.11498
Price/Cash Flow (TTM),7.06668
5yr Low,6.84
5yr High,45.82
5yr Avg Return,-0.025616666666666673
EPS Growth 5yr,
Revenue Growth 5yr,-0.0441539
Dividend Growth 5yr,
Short Int Current Month,3793817.0
Short Int Prev Month,3439237.0
Short Int Pct of Float,0.1726069
Days to Cover,18.32974
Float,23.62124
Shares Outstanding,31.50829
Institutions Holding Shares,212.0
FCF Growth 5yr,-143.1624296709652
"Price/Earnings (TTM, GAAP)",496.47
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3947
Operating Profit Margin (TTM),0.0367
Net Profit Margin (TTM),0.0055000000000000005
Annual Dividend Yield,0.0124
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6337
EPS Growth (TTM),1.0111
Revenue Growth (MRQ),-0.0751
Revenue Growth (TTM),1.0973000000000002
Return On Equity (TTM),0.0084
Return On Assets (TTM),0.0033000000000000004
Return On Investment (TTM),0.0038
Revenue Per Employee (TTM),91133.0
Total Debt/Total Capital (MRQ),0.3458
Change in Debt/Total Capital Quarter over Quarter,-0.0019
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.42
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-21 00:00:00
theStreet since,2022-11-08 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
