,MCS
Price/Earnings (TTM),496.4713
Price/Sales (TTM),0.74588
Price/Book (MRQ),1.11498
Price/Cash Flow (TTM),7.06668
5yr Low,6.84
5yr High,45.82
5yr Avg Return,-0.025616666666666673
EPS Growth 5yr,
Revenue Growth 5yr,-0.0441539
Dividend Growth 5yr,
Short Int Current Month,3793817.0
Short Int Prev Month,3439237.0
Short Int Pct of Float,0.1726069
Days to Cover,18.32974
Float,23.62124
Shares Outstanding,31.50829
Institutions Holding Shares,212.0
% Held by Institutions,0.948249
FCF Growth 5yr,-143.1624296709652
