,MCS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",496.47,-577.59,Valuation,-0.8595543551654288
Price/Sales (TTM),0.75,6.3,Valuation,0.11904761904761905
Price/Book (MRQ),1.11,7.63,Valuation,0.145478374836173
"PEG Ratio (TTM, GAAP)",,-24.63,Valuation,
Gross Profit Margin (TTM),0.3947,0.41159999999999997,Profitability,0.9589407191448008
Operating Profit Margin (TTM),0.0367,0.0672,Profitability,0.5461309523809524
Net Profit Margin (TTM),0.0055000000000000005,0.0336,Profitability,0.16369047619047622
Annual Dividend Yield,0.0124,0.0015,Dividend,8.266666666666666
Dividend Change %,,0.018600000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.010400000000000001,Dividend,
EPS Growth (MRQ),-0.6337,-1.1815,Gowth rates,0.5363520947947524
EPS Growth (TTM),1.0111,0.2345,Gowth rates,4.311727078891258
Revenue Growth (MRQ),-0.0751,0.2214,Gowth rates,-0.3392050587172538
Revenue Growth (TTM),1.0973000000000002,0.44170000000000004,Gowth rates,2.4842653384650215
Return On Equity (TTM),0.0084,0.1716,Effectiveness,0.048951048951048945
Return On Assets (TTM),0.0033000000000000004,0.0233,Effectiveness,0.14163090128755365
Return On Investment (TTM),0.0038,0.027999999999999997,Effectiveness,0.13571428571428573
Revenue Per Employee (TTM),91133.0,999442.0,Effectiveness,0.0911838806053778
Total Debt/Total Capital (MRQ),0.3458,0.4204,Financial strength,0.8225499524262607
Change in Debt/Total Capital Quarter over Quarter,-0.0019,0.0014000000000000002,Financial strength,-1.357142857142857
Quick Ratio (MRQ),,0.41,Financial strength,
Interest Coverage (MRQ),2.42,-3.12,Financial strength,-0.7756410256410255
