,POWI
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.025236593059936974
Growth 1yr High Est,0.028301886792452713
Growth 1yr Consensus Est,0.026769239926194843
Growth 2yr Low Est,-0.11045862654695454
Growth 2yr High Est,-0.05159829207777977
Growth 2yr Consensus Est,-0.08102845931236716
Growth 5yr Low Est,0.009254813710649706
Growth 5yr High Est,0.03719297994536208
Growth 5yr Consensus Est,0.023223896828005894
Growth 5yr Actual/Est,0.26439060143960563
Growth 3yr Historic,0.30886912904696756
