,POWI
% Above Low,0.3124
% Held by Institutions,1.0146
52-Wk Range,['59.16 - 105.16']
Annual Dividend $,0.72
Annual Dividend %,0.0092
Ask,77.64
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,77.49
Bid Size,200.0
Day Change $,-0.31
Day Change %,-0.004
Day High,77.76
Day Low,76.9
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",3.19
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.46399999999999997
Last (size),3.0
Last (time),11:19a ET 11/28/22
Market Cap,4.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.46
Prev Close,77.95
Price,77.64
Short Interest,0.0504
Today's Open,77.11
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.025236593059936974
Growth 1yr High Est,0.028301886792452713
Growth 1yr Consensus Est,0.026769239926194843
Growth 2yr Low Est,-0.11045862654695454
Growth 2yr High Est,-0.05159829207777977
Growth 2yr Consensus Est,-0.08102845931236716
Growth 5yr Low Est,0.009254813710649706
Growth 5yr High Est,0.03719297994536208
Growth 5yr Consensus Est,0.023223896828005894
Growth 5yr Actual/Est,0.26439060143960563
Growth 3yr Historic,0.30886912904696756
Price/Earnings (TTM),24.45928
Price/Sales (TTM),6.3783
Price/Book (MRQ),5.94223
Price/Cash Flow (TTM),19.77098
5yr Low,23.68
5yr High,110.66
5yr Avg Return,0.1665333333333333
EPS Growth 5yr,0.2650881
Revenue Growth 5yr,0.1253467
Dividend Growth 5yr,0.1574016
Short Int Current Month,2839428.0
Short Int Prev Month,3071852.0
Short Int Pct of Float,0.0504497
Days to Cover,5.02109
Float,56.40784
Shares Outstanding,57.19786
Institutions Holding Shares,450.0
FCF Growth 5yr,0.20378973510631507
"Price/Earnings (TTM, GAAP)",24.46
"PEG Ratio (TTM, GAAP)",8.49
Gross Profit Margin (TTM),0.5618
Operating Profit Margin (TTM),0.2916
Net Profit Margin (TTM),0.27
Annual Dividend Yield,0.0092
Dividend Change %,0.2857
"Dividend Growth Rate, 3 Years",0.1906
EPS Growth (MRQ),-0.1666
EPS Growth (TTM),0.2963
Revenue Growth (MRQ),-0.1291
Revenue Growth (TTM),0.026000000000000002
Return On Equity (TTM),0.22760000000000002
Return On Assets (TTM),0.2048
Return On Investment (TTM),0.2197
Revenue Per Employee (TTM),904298.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),6.66
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-07-12 00:00:00
theStreet since,2022-11-07 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-06-04 00:00:00
cfra since,
marketEdge opinion since,
