,WTRG
% Below High,0.1161
% Held by Institutions,0.767
52-Wk Range,['38.50 - 53.93']
Annual Dividend $,1.15
Annual Dividend %,0.0236
Ask,48.77
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,46.5
Bid Size,100.0
Closing Price,47.67
Day Change $,-1.0
Day Change %,-0.020499999999999997
Day High,48.21
Day Low,47.5
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",1.73
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.259
Last (size),21.0
Last (time),7:00p ET 11/28/22
Market Cap,12.5B
"P/E Ratio (TTM, GAAP)",28.07
Prev Close,48.67
Short Interest,0.0134
Today's Open,48.13
Volume,733308.0
Volume 10-day Avg,898623.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.07317073170731714
Growth 1yr High Est,0.11242603550295849
Growth 1yr Consensus Est,0.09279838360513781
Growth 2yr Low Est,0.07067627494456763
Growth 2yr High Est,0.06685131562381963
Growth 2yr Consensus Est,0.06876379528419363
Growth 5yr Low Est,0.0874381078952356
Growth 5yr High Est,0.06415482447857646
Growth 5yr Consensus Est,0.07579646618690603
Growth 5yr Actual/Est,0.06627518967021873
Growth 3yr Historic,0.03294798932231119
Price/Earnings (TTM),28.07307
Price/Sales (TTM),6.02628
Price/Book (MRQ),2.38919
Price/Cash Flow (TTM),16.5428
5yr Low,30.4
5yr High,54.52
5yr Avg Return,0.055566666666666674
EPS Growth 5yr,0.043138300000000004
Revenue Growth 5yr,0.1803104
Dividend Growth 5yr,0.0703871
Short Int Current Month,3508537.0
Short Int Prev Month,4239127.0
Short Int Pct of Float,0.0134012
Days to Cover,3.26629
Float,261.8792
Shares Outstanding,262.2909
Institutions Holding Shares,855.0
FCF Growth 5yr,6.30753176713948
"Price/Earnings (TTM, GAAP)",28.07
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4943
Operating Profit Margin (TTM),0.2978
Net Profit Margin (TTM),0.21480000000000002
Annual Dividend Yield,0.0236
Dividend Change %,0.0699
"Dividend Growth Rate, 3 Years",0.0699
EPS Growth (MRQ),-0.16649999999999998
EPS Growth (TTM),0.10060000000000001
Revenue Growth (MRQ),-0.0315
Revenue Growth (TTM),0.16620000000000001
Return On Equity (TTM),0.08689999999999999
Return On Assets (TTM),0.0308
Return On Investment (TTM),0.0323
Revenue Per Employee (TTM),659712.0
Total Debt/Total Capital (MRQ),0.5502
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),0.37
Interest Coverage (MRQ),2.37
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-02-18 00:00:00
theStreet since,2020-12-27 00:00:00
ford since,2022-02-18 00:00:00
cfra since,
marketEdge opinion since,
