,WTRG
Price/Earnings (TTM),28.07307
Price/Sales (TTM),6.02628
Price/Book (MRQ),2.38919
Price/Cash Flow (TTM),16.5428
5yr Low,30.4
5yr High,54.52
5yr Avg Return,0.055566666666666674
EPS Growth 5yr,0.043138300000000004
Revenue Growth 5yr,0.1803104
Dividend Growth 5yr,0.0703871
Short Int Current Month,3508537.0
Short Int Prev Month,4239127.0
Short Int Pct of Float,0.0134012
Days to Cover,3.26629
Float,261.8792
Shares Outstanding,262.2909
Institutions Holding Shares,855.0
% Held by Institutions,0.766972
FCF Growth 5yr,6.30753176713948
