,MRNA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.38,471.78,Valuation,0.013523252363389715
Price/Sales (TTM),3.17,45.03,Valuation,0.07039751276926492
Price/Book (MRQ),3.79,12.61,Valuation,0.3005551149881047
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.792,0.5874,Profitability,1.348314606741573
Operating Profit Margin (TTM),0.6194,-4.7459,Profitability,-0.13051265302682316
Net Profit Margin (TTM),0.55,-4.5467,Profitability,-0.12096685508170761
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.5172,-0.0014000000000000002,Gowth rates,369.4285714285714
EPS Growth (TTM),0.6984,0.027200000000000002,Gowth rates,25.676470588235293
Revenue Growth (MRQ),-0.2916,1.3963999999999999,Gowth rates,-0.20882268690919512
Revenue Growth (TTM),0.8079999999999999,0.9747,Gowth rates,0.8289730173386682
Return On Equity (TTM),0.8369,0.1967,Effectiveness,4.254702592780884
Return On Assets (TTM),0.5009,0.0016,Effectiveness,313.0625
Return On Investment (TTM),0.7787999999999999,0.0219,Effectiveness,35.56164383561644
Revenue Per Employee (TTM),7922222.0,1476201.0,Effectiveness,5.366628257263069
Total Debt/Total Capital (MRQ),0.0599,0.4675,Financial strength,0.1281283422459893
Change in Debt/Total Capital Quarter over Quarter,0.0102,0.0036,Financial strength,2.8333333333333335
Quick Ratio (MRQ),1.8,2.06,Financial strength,0.8737864077669902
Interest Coverage (MRQ),,2.69,Financial strength,
