,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,22.75,29.79,178.5,497.49,249.42,,,,,
low,13.03,11.54,17.68,103.26,115.03,,,,,
change,-0.3059,0.31010000000000004,4.3383,1.3686000000000003,-0.2862,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,6848.0,5048.0,2873.0,3027.0,Balance Sheet
Short Term Investments,,,,,,3879.0,5067.0,5024.0,5321.0,Balance Sheet
Cash and Short Term Invs,,,,,,10727.0,10115.0,7897.0,8348.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,3175.0,3173.0,2691.0,2695.0,Balance Sheet
Other Receivables,,,,,,121.0,191.0,153.0,126.0,Balance Sheet
"Total Receivables, Net",,,,,,3296.0,3364.0,2844.0,2821.0,Balance Sheet
Invent. - Finished Goods,,,,,,233.0,357.0,142.0,170.0,Balance Sheet
Invent. - Work In Progress,,,,,,338.0,513.0,379.0,366.0,Balance Sheet
Invent. - Raw Materials,,,,,,870.0,1072.0,1400.0,1541.0,Balance Sheet
Total Inventory,,,,,,1441.0,1942.0,1921.0,2077.0,Balance Sheet
Prepaid Expenses,,,,,,531.0,858.0,767.0,889.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,76.0,71.0,134.0,162.0,Balance Sheet
Total Current Assets,,,,,,16071.0,16350.0,13563.0,14297.0,Balance Sheet
Buildings,,,,,,313.0,353.0,365.0,388.0,Balance Sheet
Machinery/Equipment,,,,,,200.0,205.0,226.0,270.0,Balance Sheet
Construction in Progress,,,,,,212.0,247.0,284.0,338.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,1010.0,1099.0,1037.0,1716.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,1735.0,1904.0,1912.0,2712.0,Balance Sheet
Accumulated Depreciation,,,,,,-352.0,-431.0,-466.0,-580.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,1383.0,1473.0,1446.0,2132.0,Balance Sheet
Long Term Investments,,,,,,6843.0,9171.0,10162.0,8655.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,326.0,521.0,785.0,920.0,Balance Sheet
Restricted Cash - LT,,,,,,12.0,12.0,12.0,14.0,Balance Sheet
Other Long Term Assets,,,,,,34.0,82.0,75.0,38.0,Balance Sheet
Total Assets,,,,,,24669.0,27609.0,26043.0,26056.0,Balance Sheet
Accounts Payable,,,,,,302.0,199.0,181.0,330.0,Balance Sheet
Accrued Expenses,,,,,,1518.0,1654.0,1818.0,1892.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,165.0,160.0,121.0,224.0,Balance Sheet
Customer Advances,,,,,,6253.0,5599.0,4093.0,4002.0,Balance Sheet
Income Taxes Payable,,,,,,876.0,1592.0,349.0,66.0,Balance Sheet
Other Current Liabilities,,,,,,14.0,34.0,250.0,293.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,7143.0,7225.0,4692.0,4361.0,Balance Sheet
Total Current Liabilities,,,,,,9128.0,9238.0,6812.0,6807.0,Balance Sheet
Total Long Term Debt,,,,,,599.0,646.0,641.0,922.0,Balance Sheet
Total Debt,,,,,,764.0,806.0,762.0,1146.0,Balance Sheet
"Other Liabilities, Total",,,,,,797.0,650.0,605.0,335.0,Balance Sheet
Total Liabilities,,,,,,10524.0,10534.0,8058.0,8064.0,Balance Sheet
Redeemable Preferred Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,4211.0,3644.0,2413.0,1488.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,9958.0,13615.0,15812.0,16855.0,Balance Sheet
Unrealized Gain (Loss),,,,,,,-211.0,-283.0,-406.0,Balance Sheet
Other Equity,,,,,,,0.0,0.0,0.0,Balance Sheet
Other Comprehensive Income,,,,,,-24.0,27.0,43.0,55.0,Balance Sheet
"Other Equity, Total",,,,,,-24.0,27.0,43.0,55.0,Balance Sheet
Total Equity,,,,,,14145.0,17075.0,17985.0,17992.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,24669.0,27609.0,26043.0,26056.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,403.0,400.0,392.0,387.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,7211.0,6066.0,4749.0,3364.0,Income Statement
"Cost of Revenue, Total",,,,,,952.0,1017.0,1381.0,1100.0,Income Statement
Selling/Gen/Admin Expense,,,,,,187.0,252.0,193.0,246.0,Income Statement
Labor & Related Expense,,,,,,14.0,16.0,18.0,32.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,201.0,268.0,211.0,278.0,Income Statement
Research & Development,,,,,,648.0,554.0,710.0,820.0,Income Statement
Total Operating Expense,,,,,,1801.0,1839.0,2302.0,2198.0,Income Statement
Total Operating Income,,,,,,5410.0,4227.0,2447.0,1166.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-6.0,-6.0,-5.0,-8.0,Income Statement
"Inter Income, Non-Operating",,,,,,7.0,15.0,40.0,58.0,Income Statement
"Invest Income, Non-Operat",,,,,,-1.0,-6.0,-8.0,-4.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,6.0,9.0,32.0,54.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,0.0,-1.0,0.0,5.0,Income Statement
"Other, Net",,,,,,0.0,-1.0,0.0,5.0,Income Statement
Income Before Tax,,,,,,5410.0,4229.0,2474.0,1217.0,Income Statement
Income Tax - Total,,,,,,542.0,572.0,277.0,174.0,Income Statement
Income After Tax,,,,,,4868.0,3657.0,2197.0,1043.0,Income Statement
Net Inc Before Extra Items,,,,,,4868.0,3657.0,2197.0,1043.0,Income Statement
Total Net Income,,,,,,4868.0,3657.0,2197.0,1043.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,4868.0,3657.0,2197.0,1043.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,4868.0,3657.0,2197.0,1043.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,406.0,402.0,396.0,390.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,11.99,9.1,5.55,2.67,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,11.99,9.1,5.55,2.67,Income Statement
Diluted Weighted Average Shares,,,,,,431.0,426.0,419.0,412.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,11.29,8.58,5.24,2.53,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,11.29,8.58,5.24,2.53,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,6.0,6.0,5.0,8.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,78.0,79.0,76.0,113.0,Income Statement
Normalzd Income Before Tax,,,,,,5410.0,4229.0,2474.0,1217.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,542.0,572.0,277.0,174.0,Income Statement
Normalized Income After Tax,,,,,,4868.0,3657.0,2197.0,1043.0,Income Statement
Normalzd Inc Avail to Common,,,,,,4868.0,3657.0,2197.0,1043.0,Income Statement
Basic Normalized EPS,,,,,,11.99,9.1,5.55,2.67,Income Statement
Diluted Normalized EPS,,,,,,11.29,8.58,5.24,2.53,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,12202.0,3657.0,5854.0,6897.0,Cash Flow
Depreciation/Depletion,,,,,,232.0,79.0,155.0,268.0,Cash Flow
Deferred Taxes,,,,,,-318.0,-146.0,-376.0,-473.0,Cash Flow
Unusual Items,,,,,,0.0,,,,Cash Flow
Other Non-Cash Items,,,,,,196.0,62.0,138.0,235.0,Cash Flow
Non-Cash Items,,,,,,196.0,62.0,138.0,235.0,Cash Flow
Accounts Receivable,,,,,,-1784.0,1.0,484.0,480.0,Cash Flow
Inventories,,,,,,-1394.0,-501.0,-480.0,-636.0,Cash Flow
Prepaid Expenses,,,,,,-489.0,-414.0,-324.0,-669.0,Cash Flow
Accounts Payable,,,,,,204.0,-35.0,-56.0,89.0,Cash Flow
Accrued Expenses,,,,,,948.0,114.0,306.0,356.0,Cash Flow
Changes in Working Capital,,,,,,1308.0,-889.0,-2704.0,-3608.0,Cash Flow
Total Cash from Operations,,,,,,13620.0,2763.0,3067.0,3319.0,Cash Flow
Capital Expenditures,,,,,,-284.0,-132.0,-219.0,-308.0,Cash Flow
