,MRNA
% Above Low,0.5335
% Held by Institutions,0.6406000000000001
52-Wk Range,['115.03 - 376.65']
Annual Dividend $,
Annual Dividend %,
Ask,175.68
Ask Size,100.0
Ask close,186.07
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,174.24
Bid Size,100.0
Bid close,166.11
Change Since Close,-1.03| |(-0.58%)
Closing Price,176.4
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",27.65
Ex-dividend Date,No dividend
Historical Volatility,0.747
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,175.37
Market Cap,67.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.38
Prev Close,176.4
Short Interest,0.0461
Today's Open,
Volume,463.0
Volume 10-day Avg,3746478.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-12.75
Growth 1yr High Est,-20.371900826446282
Growth 1yr Consensus Est,-16.56095041322314
Growth 2yr Low Est,-6.9001686559418784
Growth 2yr High Est,-10.418672256226554
Growth 2yr Consensus Est,-8.659420456084217
Growth 5yr Low Est,-3.4500843279709392
Growth 5yr High Est,-5.209336128113277
Growth 5yr Consensus Est,-4.329710228042107
Growth 5yr Actual/Est,-4.041070143344474
Growth 3yr Historic,-3.7922893350888742
Price/Earnings (TTM),6.37879
Price/Sales (TTM),3.16828
Price/Book (MRQ),3.79429
Price/Cash Flow (TTM),5.59569
5yr Low,11.54
5yr High,497.49
5yr Avg Return,1.08498
EPS Growth 5yr,
Revenue Growth 5yr,1.794444
Dividend Growth 5yr,
Short Int Current Month,15975146.0
Short Int Prev Month,16475414.0
Short Int Pct of Float,0.0460527
Days to Cover,2.99535
Float,346.9223
Shares Outstanding,384.1805
Institutions Holding Shares,1357.0
FCF Growth 5yr,-0.22100105528307337
"Price/Earnings (TTM, GAAP)",6.38
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.792
Operating Profit Margin (TTM),0.6194
Net Profit Margin (TTM),0.55
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5172
EPS Growth (TTM),0.6984
Revenue Growth (MRQ),-0.2916
Revenue Growth (TTM),0.8079999999999999
Return On Equity (TTM),0.8369
Return On Assets (TTM),0.5009
Return On Investment (TTM),0.7787999999999999
Revenue Per Employee (TTM),7922222.0
Total Debt/Total Capital (MRQ),0.0599
Change in Debt/Total Capital Quarter over Quarter,0.0102
Quick Ratio (MRQ),1.8
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-04 00:00:00
theStreet since,
cfra since,2022-09-16 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
