,DCI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.98,24.01,Valuation,0.9571012078300708
Price/Sales (TTM),2.27,3.06,Valuation,0.7418300653594772
Price/Book (MRQ),6.62,7.44,Valuation,0.8897849462365591
"PEG Ratio (TTM, GAAP)",2.3,1.49,Valuation,1.5436241610738255
Gross Profit Margin (TTM),0.3236,0.32799999999999996,Profitability,0.9865853658536586
Operating Profit Margin (TTM),0.1341,0.0198,Profitability,6.772727272727272
Net Profit Margin (TTM),0.10070000000000001,-0.0086,Profitability,-11.709302325581397
Annual Dividend Yield,0.015,0.0143,Dividend,1.048951048951049
Dividend Change %,0.0471,0.1666,Dividend,0.28271308523409366
"Dividend Growth Rate, 3 Years",0.045,0.0885,Dividend,0.5084745762711864
EPS Growth (MRQ),0.22280000000000003,0.3518,Gowth rates,0.6333143831722571
EPS Growth (TTM),0.19010000000000002,0.16149999999999998,Gowth rates,1.177089783281734
Revenue Growth (MRQ),0.0431,0.196,Gowth rates,0.21989795918367347
Revenue Growth (TTM),0.1587,0.1475,Gowth rates,1.0759322033898306
Return On Equity (TTM),0.2933,0.2859,Effectiveness,1.025883175935642
Return On Assets (TTM),0.1331,0.0851,Effectiveness,1.564042303172738
Return On Investment (TTM),0.17690000000000003,0.12490000000000001,Effectiveness,1.4163330664531626
Revenue Per Employee (TTM),236186.0,343373.0,Effectiveness,0.6878409193500945
Total Debt/Total Capital (MRQ),0.3638,0.6352000000000001,Financial strength,0.5727329974811083
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001,0.0189,Financial strength,0.08994708994708996
Quick Ratio (MRQ),1.44,1.07,Financial strength,1.3457943925233644
Interest Coverage (MRQ),49.73,20.9,Financial strength,2.379425837320574
