,DCI
% Below High,0.0033
% Held by Institutions,0.8144
52-Wk Range,['46.00 - 61.39']
Annual Dividend $,0.92
Annual Dividend %,0.015
Ask,61.63
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.2
Bid,37.0
Bid Size,400.0
Closing Price,61.18
Day Change $,0.56
Day Change %,0.0092
Day High,61.29
Day Low,60.88
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",2.66
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.272
Last (size),726.0
Last (time),5:00p ET 11/25/22
Market Cap,7.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.98
Prev Close,60.62
Short Interest,0.0087
Today's Open,61.01
Volume,142404.0
Volume 10-day Avg,494208.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.08955223880596996
Growth 1yr High Est,0.15498154981549805
Growth 1yr Consensus Est,0.12226689431073401
Growth 2yr Low Est,0.04135146186873839
Growth 2yr High Est,0.12381665350199822
Growth 2yr Consensus Est,0.0825840576853683
Growth 5yr Low Est,0.11461165770782461
Growth 5yr High Est,0.14839255600172585
Growth 5yr Consensus Est,0.13150210685477523
Growth 5yr Actual/Est,0.12197718305026595
Growth 3yr Historic,0.07879310344827589
Price/Earnings (TTM),22.97616
Price/Sales (TTM),2.26582
Price/Book (MRQ),6.61651
Price/Cash Flow (TTM),17.5584
5yr Low,31.08
5yr High,69.35
5yr Avg Return,0.05028333333333333
EPS Growth 5yr,0.0889425
Revenue Growth 5yr,0.0687031
Dividend Growth 5yr,0.049200299999999995
Short Int Current Month,1064377.0
Short Int Prev Month,1465816.0
Short Int Pct of Float,0.0087279
Days to Cover,3.10204
Float,121.9744
Shares Outstanding,122.4611
Institutions Holding Shares,482.0
FCF Growth 5yr,0.8947013454011468
"Price/Earnings (TTM, GAAP)",22.98
"PEG Ratio (TTM, GAAP)",2.3
Gross Profit Margin (TTM),0.3236
Operating Profit Margin (TTM),0.1341
Net Profit Margin (TTM),0.10070000000000001
Annual Dividend Yield,0.015
Dividend Change %,0.0471
"Dividend Growth Rate, 3 Years",0.045
EPS Growth (MRQ),0.22280000000000003
EPS Growth (TTM),0.19010000000000002
Revenue Growth (MRQ),0.0431
Revenue Growth (TTM),0.1587
Return On Equity (TTM),0.2933
Return On Assets (TTM),0.1331
Return On Investment (TTM),0.17690000000000003
Revenue Per Employee (TTM),236186.0
Total Debt/Total Capital (MRQ),0.3638
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),1.44
Interest Coverage (MRQ),49.73
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-01-07 00:00:00
ford since,2022-01-07 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-08-11 00:00:00
