,SJW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",39.04,27.53,Valuation,1.41808935706502
Price/Sales (TTM),3.87,7.04,Valuation,0.5497159090909091
Price/Book (MRQ),2.17,3.31,Valuation,0.6555891238670695
"PEG Ratio (TTM, GAAP)",,1.46,Valuation,
Gross Profit Margin (TTM),0.5595,0.226,Profitability,2.475663716814159
Operating Profit Margin (TTM),0.1906,0.3617,Profitability,0.5269560409178877
Net Profit Margin (TTM),0.09910000000000001,0.2111,Profitability,0.46944576030317386
Annual Dividend Yield,0.0191,0.0184,Dividend,1.0380434782608696
Dividend Change %,0.0625,0.08380000000000001,Dividend,0.7458233890214796
"Dividend Growth Rate, 3 Years",0.0669,0.0843,Dividend,0.7935943060498221
EPS Growth (MRQ),1.1627,0.1328,Gowth rates,8.75527108433735
EPS Growth (TTM),0.023100000000000002,0.18910000000000002,Gowth rates,0.12215758857747223
Revenue Growth (MRQ),0.1808,0.0702,Gowth rates,2.5754985754985755
Revenue Growth (TTM),0.034100000000000005,0.0363,Gowth rates,0.9393939393939396
Return On Equity (TTM),0.056900000000000006,0.12869999999999998,Effectiveness,0.4421134421134422
Return On Assets (TTM),0.0165,0.0388,Effectiveness,0.4252577319587629
Return On Investment (TTM),0.018000000000000002,0.04190000000000001,Effectiveness,0.4295942720763723
Revenue Per Employee (TTM),784369.0,616264.0,Effectiveness,1.272780821206496
Total Debt/Total Capital (MRQ),0.6123,0.5626,Financial strength,1.08833985069321
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.0001,Financial strength,2.0
Quick Ratio (MRQ),,0.47,Financial strength,
Interest Coverage (MRQ),2.64,4.21,Financial strength,0.6270783847980999
