,SJW
Price/Earnings (TTM),39.03793
Price/Sales (TTM),3.87213
Price/Book (MRQ),2.17337
Price/Cash Flow (TTM),14.01299
5yr Low,45.6
5yr High,76.2
5yr Avg Return,0.028216666666666668
EPS Growth 5yr,-0.045446299999999995
Revenue Growth 5yr,0.1104889
Dividend Growth 5yr,0.1092023
Short Int Current Month,338826.0
Short Int Prev Month,467252.0
Short Int Pct of Float,0.0126369
Days to Cover,2.62097
Float,26.83775
Shares Outstanding,30.31932
Institutions Holding Shares,260.0
% Held by Institutions,0.7638729999999999
FCF Growth 5yr,2.779161834715835
