,SJW
% Below High,0.013999999999999999
% Held by Institutions,0.7639
52-Wk Range,['55.74 - 76.20']
Annual Dividend $,1.44
Annual Dividend %,0.0191
Ask,75.23
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.6
Bid,75.03
Bid Size,200.0
Day Change $,-0.1
Day Change %,-0.0013
Day High,75.67
Day Low,74.96
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",1.93
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.252
Last (size),100.0
Last (time),2:18p ET 11/28/22
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",39.04
Prev Close,75.23
Price,75.13
Short Interest,0.0126
Today's Open,75.03
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.1758793969849246
Growth 1yr High Est,0.0826086956521741
Growth 1yr Consensus Est,0.12924404631854935
Growth 2yr Low Est,0.1157174762702402
Growth 2yr High Est,0.06138466911122753
Growth 2yr Consensus Est,0.08855107269073387
Growth 5yr Low Est,0.07714498418016014
Growth 5yr High Est,0.040923112740818356
Growth 5yr Consensus Est,0.05903404846048924
Growth 5yr Actual/Est,0.09564463219238012
Growth 3yr Historic,0.03771133046308933
Price/Earnings (TTM),39.03793
Price/Sales (TTM),3.87213
Price/Book (MRQ),2.17337
Price/Cash Flow (TTM),14.01299
5yr Low,45.6
5yr High,76.2
5yr Avg Return,0.028216666666666668
EPS Growth 5yr,-0.045446299999999995
Revenue Growth 5yr,0.1104889
Dividend Growth 5yr,0.1092023
Short Int Current Month,338826.0
Short Int Prev Month,467252.0
Short Int Pct of Float,0.0126369
Days to Cover,2.62097
Float,26.83775
Shares Outstanding,30.31932
Institutions Holding Shares,260.0
FCF Growth 5yr,2.779161834715835
"Price/Earnings (TTM, GAAP)",39.04
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5595
Operating Profit Margin (TTM),0.1906
Net Profit Margin (TTM),0.09910000000000001
Annual Dividend Yield,0.0191
Dividend Change %,0.0625
"Dividend Growth Rate, 3 Years",0.0669
EPS Growth (MRQ),1.1627
EPS Growth (TTM),0.023100000000000002
Revenue Growth (MRQ),0.1808
Revenue Growth (TTM),0.034100000000000005
Return On Equity (TTM),0.056900000000000006
Return On Assets (TTM),0.0165
Return On Investment (TTM),0.018000000000000002
Revenue Per Employee (TTM),784369.0
Total Debt/Total Capital (MRQ),0.6123
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.64
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-04-01 00:00:00
theStreet since,2022-11-02 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-01 00:00:00
cfra since,
marketEdge opinion since,
