,RNA
% Above Low,0.1217
% Held by Institutions,0.9126000000000001
52-Wk Range,['10.89 - 27.00']
Annual Dividend $,
Annual Dividend %,
Ask,12.23
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,
Bid,12.2
Bid Size,400.0
Day Change $,-0.315
Day Change %,-0.025099999999999997
Day High,12.66
Day Low,12.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.26
Ex-dividend Date,No dividend
Historical Volatility,0.765
Last (size),100.0
Last (time),1:01p ET 11/28/22
Market Cap,665.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,12.53
Price,12.22
Short Interest,0.1383
Today's Open,12.5
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.27338129496402885
Growth 1yr High Est,0.2007575757575757
Growth 1yr Consensus Est,0.23706943536080227
Growth 2yr Low Est,0.2623968621712799
Growth 2yr High Est,0.0041642768377784245
Growth 2yr Consensus Est,0.13328056950452916
Growth 5yr Low Est,0.2623968621712799
Growth 5yr High Est,0.0041642768377784245
Growth 5yr Consensus Est,0.13328056950452916
Growth 5yr Actual/Est,0.2104513802404325
Growth 3yr Historic,0.13008130081300817
Price/Earnings (TTM),
Price/Sales (TTM),82.14943
Price/Book (MRQ),1.80966
Price/Cash Flow (TTM),
5yr Low,10.89
5yr High,37.46
5yr Avg Return,-0.2016666666666667
Short Int Current Month,7032819.0
Short Int Prev Month,5554359.0
Short Int Pct of Float,0.1382592
Days to Cover,16.14231
Float,50.86692
Shares Outstanding,54.46252
Institutions Holding Shares,172.0
FCF Growth 5yr,0.3324145255785231
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-19.7707
Net Profit Margin (TTM),-19.5091
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1023
EPS Growth (TTM),-0.3331
Revenue Growth (MRQ),0.1396
Revenue Growth (TTM),-0.1361
Return On Equity (TTM),-0.41990000000000005
Return On Assets (TTM),-0.37840000000000007
Return On Investment (TTM),-0.4096
Revenue Per Employee (TTM),66456.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-08-10 00:00:00
theStreet since,2022-01-10 00:00:00
ford since,2022-10-07 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
