,RNA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),82.15,45.03,Valuation,1.8243393293359984
Price/Book (MRQ),1.81,12.61,Valuation,0.1435368754956384
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-19.7707,-4.7459,Profitability,4.165848416527951
Net Profit Margin (TTM),-19.5091,-4.5467,Profitability,4.290826313590076
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.1023,-0.0014000000000000002,Gowth rates,-73.07142857142857
EPS Growth (TTM),-0.3331,0.027200000000000002,Gowth rates,-12.246323529411764
Revenue Growth (MRQ),0.1396,1.3963999999999999,Gowth rates,0.0999713549126325
Revenue Growth (TTM),-0.1361,0.9747,Gowth rates,-0.13963270749974352
Return On Equity (TTM),-0.41990000000000005,0.1967,Effectiveness,-2.1347229283172346
Return On Assets (TTM),-0.37840000000000007,0.0016,Effectiveness,-236.50000000000003
Return On Investment (TTM),-0.4096,0.0219,Effectiveness,-18.703196347031966
Revenue Per Employee (TTM),66456.0,1476201.0,Effectiveness,0.045018259708535624
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
