,VZIO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,7.14,Valuation,
Price/Sales (TTM),1.04,7.33,Valuation,0.14188267394270124
Price/Book (MRQ),5.73,2.07,Valuation,2.768115942028986
"PEG Ratio (TTM, GAAP)",,0.43,Valuation,
Gross Profit Margin (TTM),0.1552,0.3091,Profitability,0.5021028793270786
Operating Profit Margin (TTM),-0.0123,0.1507,Profitability,-0.08161911081619111
Net Profit Margin (TTM),-0.0086,0.11320000000000001,Profitability,-0.07597173144876325
Annual Dividend Yield,,0.016399999999999998,Dividend,
Dividend Change %,,0.2639,Dividend,
"Dividend Growth Rate, 3 Years",,0.1757,Dividend,
EPS Growth (MRQ),-0.1454,-0.0688,Gowth rates,2.113372093023256
EPS Growth (TTM),,0.16670000000000001,Gowth rates,
Revenue Growth (MRQ),0.0638,0.1173,Gowth rates,0.5439045183290707
Revenue Growth (TTM),,0.149,Gowth rates,
Return On Equity (TTM),-0.0499,0.38439999999999996,Effectiveness,-0.1298126951092612
Return On Assets (TTM),-0.0183,0.135,Effectiveness,-0.13555555555555554
Return On Investment (TTM),-0.048600000000000004,0.1699,Effectiveness,-0.2860506180105945
Revenue Per Employee (TTM),2447839.0,1633986.0,Effectiveness,1.4980783189084852
Total Debt/Total Capital (MRQ),0.0,0.29309999999999997,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,-0.0005,Financial strength,
Quick Ratio (MRQ),1.43,0.53,Financial strength,2.6981132075471694
Interest Coverage (MRQ),,51.09,Financial strength,
