,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,28.8,19.83,,,,,
low,17.25,6.47,,,,,
change,0.1103,-0.4651,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,332.0,310.0,336.0,266.0,Balance Sheet
Short Term Investments,,,,,,59.0,Balance Sheet
Cash and Short Term Invs,,,332.0,310.0,336.0,325.0,Balance Sheet
"Trade Accts Recvble, Gross",,,375.0,324.0,257.0,340.0,Balance Sheet
Prov. for Doubtful Accts,,,0.0,-3.0,-3.0,0.0,Balance Sheet
"Trade Accts Recvble, Net",,,375.0,321.0,254.0,340.0,Balance Sheet
Other Receivables,,,31.0,31.0,31.0,30.0,Balance Sheet
"Total Receivables, Net",,,406.0,352.0,285.0,370.0,Balance Sheet
Invent. - Finished Goods,,,7.0,6.0,4.0,10.0,Balance Sheet
Invent. - Raw Materials,,,5.0,6.0,27.0,24.0,Balance Sheet
Total Inventory,,,12.0,12.0,31.0,34.0,Balance Sheet
"Other Curr. Assets, Total",,,85.0,85.0,91.0,56.0,Balance Sheet
Total Current Assets,,,835.0,759.0,743.0,784.0,Balance Sheet
Buildings,,,14.0,14.0,14.0,14.0,Balance Sheet
Machinery/Equipment,,,24.0,28.0,27.0,20.0,Balance Sheet
Construction in Progress,,,,,6.0,3.0,Balance Sheet
Other Prop./Plant/Equip.,,,12.0,16.0,18.0,18.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,50.0,57.0,65.0,56.0,Balance Sheet
Accumulated Depreciation,,,-31.0,-32.0,-32.0,-23.0,Balance Sheet
Prop./Plant/Equip. - Net,,,19.0,25.0,32.0,33.0,Balance Sheet
"Goodwill, Net",,,45.0,45.0,45.0,45.0,Balance Sheet
Other Long Term Assets,,,7.0,7.0,8.0,7.0,Balance Sheet
Total Assets,,,936.0,867.0,858.0,900.0,Balance Sheet
Accounts Payable,,,344.0,299.0,263.0,282.0,Balance Sheet
Accrued Expenses,,,245.0,220.0,233.0,240.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,2.0,2.0,2.0,2.0,Balance Sheet
Total Current Liabilities,,,591.0,521.0,498.0,523.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,14.0,16.0,19.0,20.0,Balance Sheet
Total Liabilities,,,605.0,537.0,517.0,544.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,0.0,,,,Balance Sheet
Common Stock,,,323.0,333.0,343.0,356.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,8.0,-4.0,-1.0,1.0,Balance Sheet
Other Equity,,,,0.0,,,Balance Sheet
