,NOVA
% Above Low,0.8789
% Held by Institutions,1.2262
52-Wk Range,['12.47 - 38.56']
Annual Dividend $,
Annual Dividend %,
Ask,23.53
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,2.1
Bid,23.2
Bid Size,200.0
Change Since Close,-0.30| |(-1.28%)
Closing Price,23.43
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.29
Ex-dividend Date,No dividend
Historical Volatility,0.9
Last (size),100.0
Last (time),5:00p ET 11/25/22
Last Trade,23.13
Market Cap,2.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,23.43
Short Interest,0.2253
Today's Open,
Volume,4027.0
Volume 10-day Avg,3298559.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.5221932114882506
Growth 1yr High Est,-0.5615384615384615
Growth 1yr Consensus Est,-0.5418658365133561
Growth 2yr Low Est,0.02578864015751403
Growth 2yr High Est,-2.5088394062078274
Growth 2yr Consensus Est,-1.2415253830251567
Growth 5yr Low Est,0.012894320078757016
Growth 5yr High Est,-1.2544197031039137
Growth 5yr Consensus Est,-0.6207626915125783
Growth 5yr Actual/Est,-0.11258919323487823
Growth 3yr Historic,-0.09339714025474577
Price/Earnings (TTM),
Price/Sales (TTM),6.30352
Price/Book (MRQ),2.15975
Price/Cash Flow (TTM),67.35562
5yr Low,6.12
5yr High,57.7
5yr Avg Return,0.607275
Short Int Current Month,23713580.0
Short Int Prev Month,25639645.0
Short Int Pct of Float,0.2252868
Days to Cover,6.01502
Float,105.3484
Shares Outstanding,114.9099
Institutions Holding Shares,379.0
FCF Growth 5yr,0.4418218461720243
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4805
Operating Profit Margin (TTM),-0.17260000000000003
Net Profit Margin (TTM),-0.2141
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6729
EPS Growth (TTM),0.3825
Revenue Growth (MRQ),0.016
Revenue Growth (TTM),0.9888
Return On Equity (TTM),-0.12539999999999998
Return On Assets (TTM),-0.0144
Return On Investment (TTM),-0.0165
Revenue Per Employee (TTM),580322.0
Total Debt/Total Capital (MRQ),0.7404000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),1.64
Interest Coverage (MRQ),-10.25
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2020-08-26 00:00:00
theStreet since,2020-08-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
