,NOVA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,39.39,Valuation,
Price/Sales (TTM),6.3,5.57,Valuation,1.1310592459605027
Price/Book (MRQ),2.16,3.81,Valuation,0.5669291338582677
"PEG Ratio (TTM, GAAP)",,0.25,Valuation,
Gross Profit Margin (TTM),0.4805,0.373,Profitability,1.2882037533512063
Operating Profit Margin (TTM),-0.17260000000000003,-0.0075,Profitability,23.01333333333334
Net Profit Margin (TTM),-0.2141,-0.020800000000000003,Profitability,10.29326923076923
Annual Dividend Yield,,0.032100000000000004,Dividend,
Dividend Change %,,0.151,Dividend,
"Dividend Growth Rate, 3 Years",,0.023,Dividend,
EPS Growth (MRQ),-0.6729,13.3408,Gowth rates,-0.05043925401775007
EPS Growth (TTM),0.3825,1.5813,Gowth rates,0.2418895845190666
Revenue Growth (MRQ),0.016,0.26,Gowth rates,0.061538461538461535
Revenue Growth (TTM),0.9888,0.1776,Gowth rates,5.5675675675675675
Return On Equity (TTM),-0.12539999999999998,0.0336,Effectiveness,-3.7321428571428568
Return On Assets (TTM),-0.0144,-0.1124,Effectiveness,0.12811387900355872
Return On Investment (TTM),-0.0165,0.0333,Effectiveness,-0.4954954954954955
Revenue Per Employee (TTM),580322.0,1716942.0,Effectiveness,0.33799743963395384
Total Debt/Total Capital (MRQ),0.7404000000000001,0.5949,Financial strength,1.24457892082703
Change in Debt/Total Capital Quarter over Quarter,0.0008,-0.0003,Financial strength,-2.666666666666667
Quick Ratio (MRQ),1.64,1.11,Financial strength,1.4774774774774773
Interest Coverage (MRQ),-10.25,14.12,Financial strength,-0.7259206798866856
