,GNTX
% Above Low,0.2356
% Held by Institutions,0.8776999999999999
52-Wk Range,['23.28 - 36.65']
Annual Dividend $,0.48
Annual Dividend %,0.0167
Ask,29.03
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.9
Bid,28.49
Bid Size,500.0
Closing Price,28.76
Day Change $,0.13
Day Change %,0.0045000000000000005
Day High,28.87
Day Low,28.57
Dividend Pay Date,2022-10-19 00:00:00
"EPS (TTM, GAAP)",1.34
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.311
Last (size),4.0
Last (time),1:00p ET 11/25/22
Market Cap,6.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.4
Prev Close,28.63
Short Interest,0.0165
Today's Open,28.73
Volume,201596.0
Volume 10-day Avg,825839.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.06944444444444431
Growth 1yr High Est,-0.07843137254901966
Growth 1yr Consensus Est,-0.07393790849673199
Growth 2yr Low Est,0.05483001658374803
Growth 2yr High Est,0.16291197329995827
Growth 2yr Consensus Est,0.10887099494185315
Growth 5yr Low Est,-0.0017260960026045102
Growth 5yr High Est,0.059134558078550586
Growth 5yr Consensus Est,0.028704231037973038
Growth 5yr Actual/Est,0.03730935294843102
Growth 3yr Historic,-0.022400791979105217
Price/Earnings (TTM),21.39642
Price/Sales (TTM),3.65638
Price/Book (MRQ),3.31704
Price/Cash Flow (TTM),16.29359
5yr Low,17.8
5yr High,37.9
5yr Avg Return,0.07976666666666667
EPS Growth 5yr,0.0468455
Revenue Growth 5yr,0.0061476
Dividend Growth 5yr,0.0652085
Short Int Current Month,3857017.0
Short Int Prev Month,3062909.0
Short Int Pct of Float,0.0165201
Days to Cover,3.59459
Float,233.4738
Shares Outstanding,234.5822
Institutions Holding Shares,583.0
FCF Growth 5yr,-0.09968721218292538
"Price/Earnings (TTM, GAAP)",21.4
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3251
Operating Profit Margin (TTM),0.1972
Net Profit Margin (TTM),0.17170000000000002
Annual Dividend Yield,0.0167
Dividend Change %,0.0105
"Dividend Growth Rate, 3 Years",0.0373
EPS Growth (MRQ),0.0031
EPS Growth (TTM),-0.22690000000000002
Revenue Growth (MRQ),0.0652
Revenue Growth (TTM),0.0022
Return On Equity (TTM),0.159
Return On Assets (TTM),0.1431
Return On Investment (TTM),0.15960000000000002
Revenue Per Employee (TTM),369178.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.15
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-07-25 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-22 00:00:00
ford since,2022-07-29 00:00:00
marketEdge opinion since,
