,AVNT
% Above Low,0.226
% Held by Institutions,0.9539
52-Wk Range,['27.65 - 58.60']
Annual Dividend $,0.99
Annual Dividend %,0.0292
Ask,34.26
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,32.95
Bid Size,100.0
Closing Price,33.9
Day Change $,0.0
Day Change %,0.0
Day High,34.3
Day Low,33.48
Dividend Pay Date,2023-01-06 00:00:00
"EPS (TTM, GAAP)",1.41
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.48100000000000004
Last (size),43.0
Last (time),5:00p ET 11/25/22
Market Cap,3.1B
"P/E Ratio (TTM, GAAP)",23.99
Prev Close,33.9
Short Interest,0.023799999999999998
Today's Open,33.83
Volume,208421.0
Volume 10-day Avg,666977.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.20999999999999996
Growth 1yr High Est,-0.013157894736842146
Growth 1yr Consensus Est,-0.11157894736842106
Growth 2yr Low Est,-0.15774261603375528
Growth 2yr High Est,-0.039912280701754455
Growth 2yr Consensus Est,-0.09882744836775487
Growth 5yr Low Est,0.14840141925584965
Growth 5yr High Est,0.18467844075429213
Growth 5yr Consensus Est,0.1665399300050709
Growth 5yr Actual/Est,0.1484485498063429
Growth 3yr Historic,0.1966686048500188
Price/Earnings (TTM),23.99066
Price/Sales (TTM),0.80961
Price/Book (MRQ),1.79116
Price/Cash Flow (TTM),11.11787
5yr Low,8.69
5yr High,61.46
5yr Avg Return,-0.0031333333333333374
EPS Growth 5yr,0.04963599999999999
Revenue Growth 5yr,0.1039761
Dividend Growth 5yr,0.12107720000000001
Short Int Current Month,2135736.0
Short Int Prev Month,2673455.0
Short Int Pct of Float,0.023784
Days to Cover,2.04889
Float,89.81255
Shares Outstanding,90.94353
Institutions Holding Shares,370.0
FCF Growth 5yr,3.8425122288449693
"Price/Earnings (TTM, GAAP)",23.99
"PEG Ratio (TTM, GAAP)",2.67
Gross Profit Margin (TTM),0.25730000000000003
Operating Profit Margin (TTM),0.08320000000000001
Net Profit Margin (TTM),0.0338
Annual Dividend Yield,0.0292
Dividend Change %,0.049400000000000006
"Dividend Growth Rate, 3 Years",0.0669
EPS Growth (MRQ),-1.6297
EPS Growth (TTM),-0.4032
Revenue Growth (MRQ),0.6823
Revenue Growth (TTM),0.08630000000000002
Return On Equity (TTM),0.0743
Return On Assets (TTM),0.0227
Return On Investment (TTM),0.029300000000000003
Revenue Per Employee (TTM),437701.0
Total Debt/Total Capital (MRQ),0.6423000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0033000000000000004
Quick Ratio (MRQ),0.99
Interest Coverage (MRQ),1.59
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-11-06 00:00:00
ford since,2022-10-14 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-11-20 00:00:00
marketEdge opinion since,
