,LCII
% Above Low,0.1328
% Held by Institutions,0.9643
52-Wk Range,['89.28 - 162.60']
Annual Dividend $,4.2
Annual Dividend %,0.0415
Ask,157.35
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,82.26
Bid Size,100.0
Closing Price,101.14
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",19.38
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.49700000000000005
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,2.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.22
Prev Close,101.14
Short Interest,0.08039999999999999
Today's Open,
Volume,43485.0
Volume 10-day Avg,178196.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.5727699530516432
Growth 1yr High Est,0.6660617059891107
Growth 1yr Consensus Est,0.619415829520377
Growth 2yr Low Est,0.025190946675075376
Growth 2yr High Est,0.20394588567429395
Growth 2yr Consensus Est,0.11456841617468466
Growth 5yr Low Est,0.21396078176990896
Growth 5yr High Est,0.2986974390872599
Growth 5yr Consensus Est,0.2563291104285844
Growth 5yr Actual/Est,0.2602115985939354
Growth 3yr Historic,0.21426602043185516
Price/Earnings (TTM),5.21996
Price/Sales (TTM),0.46542
Price/Book (MRQ),1.80673
Price/Cash Flow (TTM),4.13171
5yr Low,55.29
5yr High,163.33
5yr Avg Return,0.03104999999999999
EPS Growth 5yr,0.1682265
Revenue Growth 5yr,0.2164914
Dividend Growth 5yr,0.308324
Short Int Current Month,1980028.0
Short Int Prev Month,1997253.0
Short Int Pct of Float,0.0803506
Days to Cover,7.07143
Float,24.64512
Shares Outstanding,25.43029
Institutions Holding Shares,368.0
FCF Growth 5yr,0.30630602459549694
"Price/Earnings (TTM, GAAP)",5.22
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.25670000000000004
Operating Profit Margin (TTM),0.12490000000000001
Net Profit Margin (TTM),0.0895
Annual Dividend Yield,0.0415
Dividend Change %,0.2321
"Dividend Growth Rate, 3 Years",0.1365
EPS Growth (MRQ),-0.604
EPS Growth (TTM),0.9345
Revenue Growth (MRQ),-0.263
Revenue Growth (TTM),0.36710000000000004
Return On Equity (TTM),0.40280000000000005
Return On Assets (TTM),0.15560000000000002
Return On Investment (TTM),0.1912
Revenue Per Employee (TTM),397569.0
Total Debt/Total Capital (MRQ),0.42729999999999996
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),0.85
Interest Coverage (MRQ),12.67
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-09-30 00:00:00
theStreet since,2020-05-28 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
marketEdge opinion since,
