,APD
% Below High,0.0039000000000000003
% Held by Institutions,0.797
52-Wk Range,['216.24 - 311.13']
Annual Dividend $,6.48
Annual Dividend %,0.0209
Ask,310.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,243.0
Bid Size,100.0
Closing Price,309.91
Day Change $,1.76
Day Change %,0.005699999999999999
Day High,311.13
Day Low,307.71
Dividend Pay Date,2023-02-13 00:00:00
"EPS (TTM, GAAP)",10.08
Ex-dividend,2022-12-30 00:00:00
Ex-dividend Date,12/30/22
Historical Volatility,0.284
Last (size),326.0
Last (time),5:00p ET 11/25/22
Market Cap,68.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.74
Prev Close,308.15
Short Interest,0.012
Today's Open,308.72
Volume,299656.0
Volume 10-day Avg,1027969.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.10629921259842523
Growth 1yr High Est,0.11538461538461542
Growth 1yr Consensus Est,0.11084191399152032
Growth 2yr Low Est,0.0780606383276824
Growth 2yr High Est,0.12622679045092844
Growth 2yr Consensus Est,0.10214371438930542
Growth 5yr Low Est,0.09613143787786316
Growth 5yr High Est,0.11183346128657073
Growth 5yr Consensus Est,0.10398244958221695
Growth 5yr Actual/Est,0.10551660080617481
Growth 3yr Historic,0.05761857765030243
Price/Earnings (TTM),30.73891
Price/Sales (TTM),5.41465
Price/Book (MRQ),5.23053
Price/Cash Flow (TTM),19.14158
5yr Low,148.44
5yr High,327.89
5yr Avg Return,0.12789999999999999
EPS Growth 5yr,0.1433296
Revenue Growth 5yr,0.0917416
Dividend Growth 5yr,0.1138242
Short Int Current Month,2645909.0
Short Int Prev Month,2392518.0
Short Int Pct of Float,0.0119733
Days to Cover,1.86164
Float,220.9839
Shares Outstanding,221.866
Institutions Holding Shares,1866.0
FCF Growth 5yr,-0.18172150624581906
"Price/Earnings (TTM, GAAP)",30.74
"PEG Ratio (TTM, GAAP)",2.89
Gross Profit Margin (TTM),0.2646
Operating Profit Margin (TTM),0.18420000000000003
Net Profit Margin (TTM),0.1775
Annual Dividend Yield,0.0209
Dividend Change %,0.08900000000000001
"Dividend Growth Rate, 3 Years",0.11570000000000001
EPS Growth (MRQ),-0.0199
EPS Growth (TTM),0.1058
Revenue Growth (MRQ),0.11939999999999999
Revenue Growth (TTM),0.23010000000000003
Return On Equity (TTM),0.16820000000000002
Return On Assets (TTM),0.0834
Return On Investment (TTM),0.0966
Revenue Per Employee (TTM),644272.0
Total Debt/Total Capital (MRQ),0.35810000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),1.66
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-08-20 00:00:00
cfra since,2020-04-24 00:00:00
ford since,2022-04-01 00:00:00
marketEdge opinion since,
marketEdge since,2010-04-23 00:00:00
