,SMPL
% Below High,0.1574
% Held by Institutions,0.8765999999999999
52-Wk Range,['29.21 - 45.77']
Annual Dividend $,
Annual Dividend %,
Ask,38.58
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.8
Bid,38.56
Bid Size,200.0
Day Change $,-0.045
Day Change %,-0.0012
Day High,38.72
Day Low,38.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.08
Ex-dividend Date,No dividend
Historical Volatility,0.383
Last (size),100.0
Last (time),2:40p ET 11/28/22
Market Cap,3.8B
"P/E Ratio (TTM, GAAP)",35.89
Prev Close,38.61
Price,38.57
Short Interest,0.0275
Today's Open,38.43
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-04 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.15966386554621836
Growth 1yr High Est,0.3679999999999999
Growth 1yr Consensus Est,0.2638319327731091
Growth 2yr Low Est,0.1486725124832542
Growth 2yr High Est,0.2366315789473683
Growth 2yr Consensus Est,0.19265204571531125
Growth 5yr Low Est,0.09911500832216946
Growth 5yr High Est,0.1577543859649122
Growth 5yr Consensus Est,0.12843469714354083
Growth 5yr Actual/Est,0.18406008173202326
Growth 3yr Historic,0.15418586789554528
Price/Earnings (TTM),35.88924
Price/Sales (TTM),3.27049
Price/Book (MRQ),2.67043
Price/Cash Flow (TTM),29.89018
5yr Low,12.14
5yr High,45.77
5yr Avg Return,0.21539999999999995
EPS Growth 5yr,
Revenue Growth 5yr,0.24154489999999998
Dividend Growth 5yr,
Short Int Current Month,2669114.0
Short Int Prev Month,3143568.0
Short Int Pct of Float,0.0274844
Days to Cover,4.20135
Float,97.30061
Shares Outstanding,98.9937
Institutions Holding Shares,321.0
FCF Growth 5yr,-0.47565952659839894
"Price/Earnings (TTM, GAAP)",35.89
"PEG Ratio (TTM, GAAP)",3.75
Gross Profit Margin (TTM),0.38130000000000003
Operating Profit Margin (TTM),0.17350000000000002
Net Profit Margin (TTM),0.0929
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2208
EPS Growth (TTM),1.6657
Revenue Growth (MRQ),-0.1338
Revenue Growth (TTM),0.16219999999999998
Return On Equity (TTM),0.08259999999999999
Return On Assets (TTM),0.0524
Return On Investment (TTM),0.0552
Revenue Per Employee (TTM),4494916.0
Total Debt/Total Capital (MRQ),0.219
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),2.21
Interest Coverage (MRQ),7.7
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-26 00:00:00
theStreet since,2021-11-05 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-26 00:00:00
cfra since,
marketEdge opinion since,
