,SMPL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",35.89,20.59,Valuation,1.7430791646430306
Price/Sales (TTM),3.27,3.73,Valuation,0.8766756032171582
Price/Book (MRQ),2.67,13.84,Valuation,0.19291907514450868
"PEG Ratio (TTM, GAAP)",3.75,0.09,Valuation,41.66666666666667
Gross Profit Margin (TTM),0.38130000000000003,0.272,Profitability,1.4018382352941177
Operating Profit Margin (TTM),0.17350000000000002,-0.0195,Profitability,-8.897435897435898
Net Profit Margin (TTM),0.0929,0.0633,Profitability,1.4676145339652449
Annual Dividend Yield,,0.022400000000000003,Dividend,
Dividend Change %,,0.0626,Dividend,
"Dividend Growth Rate, 3 Years",,0.03,Dividend,
EPS Growth (MRQ),-0.2208,0.2782,Gowth rates,-0.7936736161035226
EPS Growth (TTM),1.6657,2.1703,Gowth rates,0.767497580979588
Revenue Growth (MRQ),-0.1338,0.1463,Gowth rates,-0.9145591250854408
Revenue Growth (TTM),0.16219999999999998,0.1387,Gowth rates,1.1694304253785148
Return On Equity (TTM),0.08259999999999999,0.1827,Effectiveness,0.4521072796934866
Return On Assets (TTM),0.0524,0.0553,Effectiveness,0.9475587703435805
Return On Investment (TTM),0.0552,0.06559999999999999,Effectiveness,0.8414634146341464
Revenue Per Employee (TTM),4494916.0,841800.0,Effectiveness,5.339648372535044
Total Debt/Total Capital (MRQ),0.219,0.42450000000000004,Financial strength,0.5159010600706714
Change in Debt/Total Capital Quarter over Quarter,-0.0012,0.0048,Financial strength,-0.25
Quick Ratio (MRQ),2.21,0.77,Financial strength,2.87012987012987
Interest Coverage (MRQ),7.7,6.87,Financial strength,1.1208151382823872
