,CMC
% Below High,0.0291
% Held by Institutions,0.8553000000000001
52-Wk Range,['30.59 - 49.41']
Annual Dividend $,0.64
Annual Dividend %,0.013300000000000001
Ask,50.63
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,47.95
Bid Size,200.0
Closing Price,47.97
Day Change $,-0.11
Day Change %,-0.0023
Day High,48.49
Day Low,47.93
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",9.95
Ex-dividend,2022-10-26 00:00:00
Ex-dividend Date,10/26/22
Historical Volatility,0.40299999999999997
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,5.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.82
Prev Close,48.08
Short Interest,0.027000000000000003
Today's Open,48.11
Volume,168216.0
Volume 10-day Avg,826305.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-09 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.33333333333333337
Growth 1yr High Est,-0.10365853658536583
Growth 1yr Consensus Est,-0.2184959349593496
Growth 2yr Low Est,-0.30938697318007663
Growth 2yr High Est,-0.0756387921022067
Growth 2yr Consensus Est,-0.19251288264114166
Growth 5yr Low Est,0.24655326285986856
Growth 5yr High Est,0.33177309147811
Growth 5yr Consensus Est,0.2891631771689893
Growth 5yr Actual/Est,0.2902994760835247
Growth 3yr Historic,0.414308631642201
Price/Earnings (TTM),4.82013
Price/Sales (TTM),0.63159
Price/Book (MRQ),1.71514
Price/Cash Flow (TTM),4.04346
5yr Low,10.76
5yr High,49.41
5yr Avg Return,0.20318333333333333
EPS Growth 5yr,0.8765101
Revenue Growth 5yr,0.1831811
Dividend Growth 5yr,0.0313103
Short Int Current Month,3119021.0
Short Int Prev Month,3247950.0
Short Int Pct of Float,0.0269783
Days to Cover,3.18922
Float,115.8706
Shares Outstanding,117.3576
Institutions Holding Shares,450.0
FCF Growth 5yr,-1.4315056923752578
"Price/Earnings (TTM, GAAP)",4.82
"PEG Ratio (TTM, GAAP)",0.5
Gross Profit Margin (TTM),0.20829999999999999
Operating Profit Margin (TTM),0.1449
Net Profit Margin (TTM),0.1366
Annual Dividend Yield,0.013300000000000001
Dividend Change %,0.16670000000000001
"Dividend Growth Rate, 3 Years",0.0527
EPS Growth (MRQ),-0.0602
EPS Growth (TTM),1.9458000000000002
Revenue Growth (MRQ),-0.0432
Revenue Growth (TTM),0.3245
Return On Equity (TTM),0.4362
Return On Assets (TTM),0.2238
Return On Investment (TTM),0.2851
Revenue Per Employee (TTM),714050.0
Total Debt/Total Capital (MRQ),0.31370000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),1.67
Interest Coverage (MRQ),24.94
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-21 00:00:00
cfra since,2019-10-25 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-06-02 00:00:00
