,CNX
% Above Low,0.39770000000000005
% Held by Institutions,0.9152
52-Wk Range,['13.00 - 24.21']
Annual Dividend $,
Annual Dividend %,
Ask,19.0
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,1.3
Bid,16.2
Bid Size,900.0
Closing Price,18.17
Day Change $,0.06
Day Change %,0.0033
Day High,18.48
Day Low,17.98
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.72
Ex-dividend Date,No dividend
Historical Volatility,0.459
Last (size),89.0
Last (time),5:00p ET 11/25/22
Market Cap,3.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,18.11
Short Interest,0.15289999999999998
Today's Open,18.0
Volume,956794.0
Volume 10-day Avg,2234103.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,7.0
Growth 1yr High Est,1.7999999999999998
Growth 1yr Consensus Est,4.4
Growth 2yr Low Est,3.658333333333333
Growth 2yr High Est,1.0053571428571428
Growth 2yr Consensus Est,2.331845238095238
Growth 5yr Low Est,1.8291666666666666
Growth 5yr High Est,0.5026785714285714
Growth 5yr Consensus Est,1.165922619047619
Growth 5yr Actual/Est,0.4912315321819041
Growth 3yr Historic,0.3192708333333334
Price/Earnings (TTM),
Price/Sales (TTM),0.84516
Price/Book (MRQ),1.68257
Price/Cash Flow (TTM),
5yr Low,4.26
5yr High,24.21
5yr Avg Return,0.042716666666666674
EPS Growth 5yr,
Revenue Growth 5yr,0.2224525
Dividend Growth 5yr,
Short Int Current Month,26736206.0
Short Int Prev Month,29941542.0
Short Int Pct of Float,0.1529402
Days to Cover,7.9513
Float,174.8285
Shares Outstanding,180.477
Institutions Holding Shares,395.0
FCF Growth 5yr,0.06973852822746111
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8377
Operating Profit Margin (TTM),0.6707
Net Profit Margin (TTM),-0.17690000000000003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-15.7149
EPS Growth (TTM),0.1464
Revenue Growth (MRQ),0.1039
Revenue Growth (TTM),1.2587000000000002
Return On Equity (TTM),-0.2658
Return On Assets (TTM),-0.08140000000000001
Return On Investment (TTM),-0.1069
Revenue Per Employee (TTM),8798315.0
Total Debt/Total Capital (MRQ),0.5318
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),0.31
Interest Coverage (MRQ),0.78
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-07-16 00:00:00
cfra since,2022-08-01 00:00:00
ford since,2022-09-30 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2019-03-07 00:00:00
