,SWBI
% Above Low,0.17420000000000002
% Held by Institutions,0.569
52-Wk Range,['9.93 - 23.54']
Annual Dividend $,0.4
Annual Dividend %,0.0338
Ask,11.66
Ask Size,900.0
B/A Ratio,0.5555555555555556
B/A Size,500x900
Beta,1.0
Bid,11.65
Bid Size,500.0
Day Change $,-0.175
Day Change %,-0.0148
Day High,11.88
Day Low,11.6
Dividend Pay Date,2022-10-06 00:00:00
"EPS (TTM, GAAP)",2.55
Ex-dividend,2022-09-21 00:00:00
Ex-dividend Date,09/21/22
Historical Volatility,0.578
Last (size),100.0
Last (time),3:41p ET 11/28/22
Market Cap,533.7M
"P/E Ratio (TTM, GAAP)",4.64
Prev Close,11.83
Price,11.66
Short Interest,0.0533
Today's Open,11.83
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.6666666666666666
Growth 1yr High Est,-0.5569007263922519
Growth 1yr Consensus Est,-0.6117836965294592
Growth 2yr Low Est,-0.2303921568627451
Growth 2yr High Est,-0.20741211183000574
Growth 2yr Consensus Est,-0.21890213434637543
Growth 5yr Low Est,-0.2303921568627451
Growth 5yr High Est,-0.20741211183000574
Growth 5yr Consensus Est,-0.2189021343463754
Growth 5yr Actual/Est,0.9997087423128703
Growth 3yr Historic,1.11817717846782
Price/Earnings (TTM),4.63734
Price/Sales (TTM),0.80354
Price/Book (MRQ),1.50639
Price/Cash Flow (TTM),3.58428
5yr Low,5.41
5yr High,39.61
5yr Avg Return,0.029933333333333336
EPS Growth 5yr,0.1263995
Revenue Growth 5yr,-0.0088034
Dividend Growth 5yr,
Short Int Current Month,2394984.0
Short Int Prev Month,2814157.0
Short Int Pct of Float,0.053268899999999994
Days to Cover,3.79387
Float,45.00369
Shares Outstanding,45.77455
Institutions Holding Shares,265.0
FCF Growth 5yr,-0.28290572117986285
"Price/Earnings (TTM, GAAP)",4.64
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4115
Operating Profit Margin (TTM),0.231
Net Profit Margin (TTM),0.1794
Annual Dividend Yield,0.0338
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.9086
EPS Growth (TTM),-0.5134000000000001
Revenue Growth (MRQ),-0.5345000000000001
Revenue Growth (TTM),-0.3895
Return On Equity (TTM),0.3667
Return On Assets (TTM),0.23850000000000002
Return On Investment (TTM),0.3182
Revenue Per Employee (TTM),392951.0
Total Debt/Total Capital (MRQ),0.0968
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),1.25
Interest Coverage (MRQ),14.07
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-03-11 00:00:00
theStreet since,2022-09-14 00:00:00
ford since,2022-03-11 00:00:00
cfra since,
marketEdge opinion since,
