,AVXL
% Above Low,0.6676000000000001
% Held by Institutions,0.3049
52-Wk Range,['7.13 - 21.30']
Annual Dividend $,
Annual Dividend %,
Ask,12.3
Ask Size,100.0
B/A Ratio,11.0
B/A Size,1100x100
Beta,0.8
Bid,12.12
Bid Size,1100.0
Closing Price,11.89
Day Change $,0.53
Day Change %,0.0467
Day High,11.95
Day Low,11.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.59
Ex-dividend Date,No dividend
Historical Volatility,0.795
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,928.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,11.36
Short Interest,0.13449999999999998
Today's Open,11.3
Volume,778695.0
Volume 10-day Avg,1192325.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-28 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.18181818181818166
Growth 1yr High Est,0.25
Growth 1yr Consensus Est,0.21590909090909083
Growth 2yr Low Est,0.2370629370629369
Growth 2yr High Est,-1.0
Growth 2yr Consensus Est,-0.38146853146853155
Growth 5yr Low Est,0.2370629370629369
Growth 5yr High Est,-1.0
Growth 5yr Consensus Est,-0.38146853146853155
Growth 5yr Actual/Est,-0.012537947783849479
Growth 3yr Historic,0.008333333333333304
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),6.14806
Price/Cash Flow (TTM),
5yr Low,1.25
5yr High,31.5
5yr Avg Return,0.4996833333333333
Short Int Current Month,10167456.0
Short Int Prev Month,10105713.0
Short Int Pct of Float,0.1345026
Days to Cover,10.30775
Float,75.59302
Shares Outstanding,77.94281
Institutions Holding Shares,194.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1666
EPS Growth (TTM),-0.22870000000000001
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.295
Return On Assets (TTM),-0.278
Return On Investment (TTM),-0.295
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-24.79
cfra,
newConstructs,rating-box
ford,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
newConstructs since,
ford since,
theStreet since,
researchTeam since,
marketEdge opinion since,
