,MTH
% Above Low,0.3763
% Held by Institutions,0.965
52-Wk Range,['62.51 - 125.01']
Annual Dividend $,
Annual Dividend %,
Ask,120.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,57.93
Bid Size,100.0
Closing Price,86.03
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",25.9
Ex-dividend Date,No dividend
Historical Volatility,0.462
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,3.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.32
Prev Close,86.03
Short Interest,0.0329
Today's Open,
Volume,94571.0
Volume 10-day Avg,272401.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.3777660695468914
Growth 1yr High Est,0.4031681144609096
Growth 1yr Consensus Est,0.3904670920039005
Growth 2yr Low Est,-0.1134114202934759
Growth 2yr High Est,-0.01454849921528445
Growth 2yr Consensus Est,-0.06397995975438017
Growth 5yr Low Est,-0.1134114202934759
Growth 5yr High Est,-0.01454849921528445
Growth 5yr Consensus Est,-0.06397995975438014
Growth 5yr Actual/Est,0.3312896677135857
Growth 3yr Historic,0.35889838754517656
Price/Earnings (TTM),3.32211
Price/Sales (TTM),0.54265
Price/Book (MRQ),0.85454
Price/Cash Flow (TTM),3.17422
5yr Low,25.24
5yr High,125.01
5yr Avg Return,0.14425
EPS Growth 5yr,0.4028926
Revenue Growth 5yr,0.1106843
Dividend Growth 5yr,
Short Int Current Month,1180972.0
Short Int Prev Month,1267765.0
Short Int Pct of Float,0.0329298
Days to Cover,3.80901
Float,35.86234
Shares Outstanding,36.57139
Institutions Holding Shares,366.0
FCF Growth 5yr,-12.945579389399612
"Price/Earnings (TTM, GAAP)",3.32
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2486
Operating Profit Margin (TTM),0.21710000000000002
Net Profit Margin (TTM),0.1668
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0501
EPS Growth (TTM),0.5217
Revenue Growth (MRQ),0.1177
Revenue Growth (TTM),0.1475
Return On Equity (TTM),0.2973
Return On Assets (TTM),0.19090000000000001
Return On Investment (TTM),0.21920000000000003
Revenue Per Employee (TTM),3270086.0
Total Debt/Total Capital (MRQ),0.2389
Change in Debt/Total Capital Quarter over Quarter,-0.0018
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-01 00:00:00
theStreet since,2022-04-28 00:00:00
cfra since,2022-08-01 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
