,DBX
% Above Low,0.16829999999999998
% Held by Institutions,0.8090999999999999
52-Wk Range,['19.07 - 25.81']
Annual Dividend $,
Annual Dividend %,
Ask,23.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,21.1
Bid Size,100.0
Closing Price,22.28
Day Change $,-0.16
Day Change %,-0.0070999999999999995
Day High,22.44
Day Low,22.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.11
Ex-dividend Date,No dividend
Historical Volatility,0.37700000000000006
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,8.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.12
Prev Close,22.44
Short Interest,0.046
Today's Open,22.32
Volume,758358.0
Volume 10-day Avg,2902046.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.034482758620689724
Growth 1yr High Est,0.045454545454545414
Growth 1yr Consensus Est,0.03996865203761757
Growth 2yr Low Est,0.0705747126436782
Growth 2yr High Est,0.10968379446640308
Growth 2yr Consensus Est,0.09012925355504064
Growth 5yr Low Est,0.42419028857664187
Growth 5yr High Est,0.4422045345958389
Growth 5yr Consensus Est,0.43319741158624037
Growth 5yr Actual/Est,0.41091868818805327
Growth 3yr Historic,0.3789784946236559
Price/Earnings (TTM),20.12192
Price/Sales (TTM),3.52669
Price/Book (MRQ),
Price/Cash Flow (TTM),15.90273
5yr Low,14.55
5yr High,43.5
5yr Avg Return,-0.03404
EPS Growth 5yr,
Revenue Growth 5yr,0.20630040000000002
Dividend Growth 5yr,
Short Int Current Month,12312365.0
Short Int Prev Month,12652405.0
Short Int Pct of Float,0.0460422
Days to Cover,4.09093
Float,266.7838
Shares Outstanding,362.7364
Institutions Holding Shares,623.0
FCF Growth 5yr,0.5007358666060521
"Price/Earnings (TTM, GAAP)",20.12
"PEG Ratio (TTM, GAAP)",2.4
Gross Profit Margin (TTM),0.8062
Operating Profit Margin (TTM),0.1448
Net Profit Margin (TTM),0.1525
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6761
EPS Growth (TTM),6.5524000000000004
Revenue Growth (MRQ),0.032
Revenue Growth (TTM),0.0931
Return On Equity (TTM),
Return On Assets (TTM),0.11570000000000001
Return On Investment (TTM),0.1884
Revenue Per Employee (TTM),859243.0
Total Debt/Total Capital (MRQ),1.5761000000000003
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),
Interest Coverage (MRQ),27.44
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-05-14 00:00:00
cfra since,2021-06-16 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-08-03 00:00:00
