,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,43.5,26.49,25.16,33.0,25.81,,,,,
low,18.5,16.08,14.55,21.57,19.07,,,,,
change,-0.29550000000000004,-0.1027,0.22870000000000001,0.0965,-0.09720000000000001,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,,,,67.0,86.0,106.0,87.0,Balance Sheet
Cash & Equivalents,,,,,,466.0,360.0,246.0,285.0,Balance Sheet
Short Term Investments,,,,,,1185.0,1050.0,1094.0,1081.0,Balance Sheet
Cash and Short Term Invs,,,,,,1718.0,1496.0,1446.0,1453.0,Balance Sheet
"Total Receivables, Net",,,,,,50.0,45.0,47.0,50.0,Balance Sheet
Prepaid Expenses,,,,,,51.0,51.0,67.0,43.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,31.0,32.0,33.0,34.0,Balance Sheet
Total Current Assets,,,,,,1850.0,1623.0,1593.0,1580.0,Balance Sheet
Buildings,,,,,,107.0,109.0,115.0,119.0,Balance Sheet
Machinery/Equipment,,,,,,635.0,632.0,643.0,636.0,Balance Sheet
Construction in Progress,,,,,,12.0,17.0,7.0,1.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,436.0,442.0,419.0,403.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,1189.0,1200.0,1184.0,1158.0,Balance Sheet
Accumulated Depreciation,,,,,,-453.0,-464.0,-491.0,-497.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,736.0,736.0,693.0,661.0,Balance Sheet
"Goodwill, Net",,,,,,357.0,356.0,354.0,353.0,Balance Sheet
Intangibles - Gross,,,,,,117.0,117.0,117.0,113.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-63.0,-67.0,-71.0,-71.0,Balance Sheet
Intangibles - Net,,,,,,54.0,50.0,47.0,43.0,Balance Sheet
Note Rcvble - Long Term,,,,,,4.0,,,,Balance Sheet
Other Long Term Assets,,,,,,57.0,55.0,43.0,39.0,Balance Sheet
Total Assets,,,,,,3091.0,2852.0,2759.0,2703.0,Balance Sheet
Accounts Payable,,,,,,26.0,24.0,30.0,34.0,Balance Sheet
Accrued Expenses,,,,,,358.0,282.0,299.0,312.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,120.0,119.0,115.0,111.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,672.0,692.0,692.0,699.0,Balance Sheet
Total Current Liabilities,,,,,,1176.0,1117.0,1136.0,1156.0,Balance Sheet
Long Term Debt,,,,,,1370.0,1371.0,1372.0,1373.0,Balance Sheet
Capital Lease Obligations,,,,,,168.0,157.0,143.0,133.0,Balance Sheet
Total Long Term Debt,,,,,,1538.0,1528.0,1515.0,1506.0,Balance Sheet
Total Debt,,,,,,1658.0,1647.0,1630.0,1618.0,Balance Sheet
"Other Liabilities, Total",,,,,,671.0,670.0,651.0,631.0,Balance Sheet
Total Liabilities,,,,,,3385.0,3315.0,3302.0,3294.0,Balance Sheet
Redeemable Preferred Stock,,,,,,0.0,,,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,0.0,,,,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,2448.0,2420.0,2424.0,2439.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-2739.0,-2855.0,-2926.0,-2972.0,Balance Sheet
Other Equity,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Comprehensive Income,,,,,,-3.0,-28.0,-41.0,-58.0,Balance Sheet
"Other Equity, Total",,,,,,-3.0,-28.0,-41.0,-58.0,Balance Sheet
Total Equity,,,,,,-294.0,-463.0,-543.0,-591.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,3091.0,2852.0,2759.0,2703.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,293.0,284.0,278.0,272.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,,83.0,83.0,83.0,83.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,376.0,367.0,360.0,355.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,566.0,562.0,573.0,591.0,Income Statement
"Cost of Revenue, Total",,,,,,116.0,113.0,106.0,110.0,Income Statement
Selling/Gen/Admin Expense,,,,,,145.0,133.0,141.0,141.0,Income Statement
Labor & Related Expense,,,,,,18.0,16.0,20.0,19.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,164.0,149.0,160.0,160.0,Income Statement
Research & Development,,,,,,202.0,211.0,215.0,228.0,Income Statement
Impair-Assets Held for Use,,,,,,14.0,0.0,9.0,4.0,Income Statement
Other Unusual Expnse (In),,,,,,0.0,,,,Income Statement
Unusual Expense (Income),,,,,,14.0,0.0,9.0,4.0,Income Statement
Total Operating Expense,,,,,,495.0,473.0,490.0,502.0,Income Statement
Total Operating Income,,,,,,70.0,90.0,83.0,89.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,-1.0,-1.0,-1.0,2.0,Income Statement
"Other, Net",,,,,,18.0,3.0,1.0,12.0,Income Statement
Income Before Tax,,,,,,86.0,94.0,79.0,98.0,Income Statement
Income Tax - Total,,,,,,-39.0,14.0,17.0,15.0,Income Statement
Income After Tax,,,,,,125.0,80.0,62.0,83.0,Income Statement
Net Inc Before Extra Items,,,,,,125.0,80.0,62.0,83.0,Income Statement
Total Net Income,,,,,,125.0,80.0,62.0,83.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,125.0,80.0,62.0,83.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,125.0,80.0,62.0,83.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,297.0,288.0,364.0,276.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,0.42,0.28,0.17,0.3,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,0.42,0.28,0.17,0.3,Income Statement
Dilution Adjustment,,,,,,27.0,18.0,14.0,19.0,Income Statement
Diluted Weighted Average Shares,,,,,,385.0,373.0,448.0,360.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,0.39,0.26,0.17,0.28,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,0.39,0.26,0.17,0.28,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,,37.0,35.0,35.0,35.0,Income Statement
Total Special Items,,,,,,14.0,0.0,9.0,4.0,Income Statement
Normalzd Income Before Tax,,,,,,100.0,94.0,88.0,102.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,5.0,0.0,2.0,1.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,-34.0,14.0,19.0,16.0,Income Statement
Normalized Income After Tax,,,,,,134.0,80.0,69.0,87.0,Income Statement
Normalzd Inc Avail to Common,,,,,,134.0,80.0,69.0,87.0,Income Statement
Basic Normalized EPS,,,,,,0.45,0.28,0.19,0.31,Income Statement
Diluted Normalized EPS,,,,,,0.42,0.26,0.18,0.29,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,336.0,80.0,142.0,225.0,Cash Flow
Depreciation/Depletion,,,,,,151.0,39.0,79.0,118.0,Cash Flow
Unusual Items,,,,,,18.0,0.0,9.0,13.0,Cash Flow
Equity in Net Earnings/Loss,,,,,,0.0,,-5.0,-5.0,Cash Flow
Other Non-Cash Items,,,,,,319.0,84.0,181.0,283.0,Cash Flow
Non-Cash Items,,,,,,337.0,84.0,185.0,291.0,Cash Flow
Accounts Receivable,,,,,,-6.0,5.0,2.0,-3.0,Cash Flow
Prepaid Expenses,,,,,,-58.0,-10.0,-26.0,-24.0,Cash Flow
Other Assets,,,,,,51.0,26.0,52.0,71.0,Cash Flow
Accounts Payable,,,,,,8.0,-1.0,1.0,10.0,Cash Flow
Accrued Expenses,,,,,,-11.0,-75.0,-49.0,-27.0,Cash Flow
Changes in Working Capital,,,,,,-94.0,-62.0,-54.0,-30.0,Cash Flow
Total Cash from Operations,,,,,,730.0,141.0,351.0,603.0,Cash Flow
Purchase of Fixed Assets,,,,,,-22.0,-11.0,-15.0,-21.0,Cash Flow
Purchase/Acq of Intangibles,,,,,,-7.0,,,,Cash Flow
Capital Expenditures,,,,,,-29.0,-11.0,-15.0,-21.0,Cash Flow
Acquisition of Business,,,,,,-140.0,0.0,0.0,0.0,Cash Flow
Sale/Maturity of Investment,,,,,,742.0,189.0,356.0,505.0,Cash Flow
Purchase of Investments,,,,,,-1138.0,-82.0,-302.0,-440.0,Cash Flow
Other Investing Cash Flow,,,,,,40.0,4.0,10.0,13.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,-496.0,112.0,64.0,78.0,Cash Flow
Total Cash from Investing,,,,,,-525.0,101.0,49.0,57.0,Cash Flow
Financing Cash Flow Items,,,,,,-289.0,0.0,0.0,0.0,Cash Flow
Sale/Issuance of Common,,,,,,7.0,0.0,0.0,0.0,Cash Flow
Repurch/Retirement Common,,,,,,-1183.0,-297.0,-511.0,-712.0,Cash Flow
"Common Stock, Net",,,,,,-1176.0,-296.0,-511.0,-712.0,Cash Flow
Warrants Converted,,,,,,203.0,0.0,0.0,0.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,-974.0,-296.0,-511.0,-712.0,Cash Flow
Long Term Debt Issued,,,,,,1389.0,0.0,0.0,0.0,Cash Flow
Long Term Debt Reduction,,,,,,-110.0,-32.0,-64.0,-96.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,1279.0,-32.0,-64.0,-96.0,Cash Flow
Total Cash From Financing,,,,,,16.0,-329.0,-575.0,-808.0,Cash Flow
Foreign Exchange Effects,,,,,,-3.0,-1.0,-6.0,-13.0,Cash Flow
Net Change in Cash,,,,,,218.0,-88.0,-181.0,-161.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,315.0,533.0,533.0,533.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,533.0,446.0,352.0,372.0,Cash Flow
"Depreciation, Supplemental",,,,,,151.0,39.0,79.0,118.0,Cash Flow
Free Cash Flow,,,,,,701.0,130.0,336.0,582.0,
FCF Growth,,,,,,,-0.8145506419400856,1.5846153846153848,0.7321428571428572,
