,WRBY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,19.03,Valuation,
Price/Sales (TTM),3.21,1.93,Valuation,1.6632124352331608
Price/Book (MRQ),6.56,92.12,Valuation,0.07121146330872774
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.5760000000000001,0.34390000000000004,Profitability,1.674905495783658
Operating Profit Margin (TTM),-0.2316,0.11789999999999999,Profitability,-1.964376590330789
Net Profit Margin (TTM),-0.2328,0.0818,Profitability,-2.845965770171149
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),0.26239999999999997,-0.10800000000000001,Gowth rates,-2.429629629629629
EPS Growth (TTM),,0.0262,Gowth rates,
Revenue Growth (MRQ),-0.005699999999999999,0.0478,Gowth rates,-0.11924686192468617
Revenue Growth (TTM),,0.0874,Gowth rates,
Return On Equity (TTM),-0.4728,5.2054,Effectiveness,-0.09082875475467783
Return On Assets (TTM),-0.2695,0.1562,Effectiveness,-1.7253521126760565
Return On Investment (TTM),-0.35619999999999996,0.26,Effectiveness,-1.3699999999999999
Revenue Per Employee (TTM),326360.0,410011.0,Effectiveness,0.7959786444753921
Total Debt/Total Capital (MRQ),0.0,0.8926999999999999,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0016,Financial strength,
Quick Ratio (MRQ),1.9,0.39,Financial strength,4.871794871794871
Interest Coverage (MRQ),,13.36,Financial strength,
