,WRBY
% Above Low,0.4632
% Held by Institutions,1.0421
52-Wk Range,['10.86 - 54.07']
Annual Dividend $,
Annual Dividend %,
Ask,18.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,12.0
Bid Size,200.0
Closing Price,15.89
Day Change $,-0.32
Day Change %,-0.0197
Day High,16.35
Day Low,15.71
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.19
Ex-dividend Date,No dividend
Historical Volatility,0.838
Last (size),5.0
Last (time),7:00p ET 11/28/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,16.21
Short Interest,0.1739
Today's Open,15.8
Volume,685988.0
Volume 10-day Avg,1418337.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-16 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-2.0
Growth 2yr High Est,-6.666666666666667
Growth 2yr Consensus Est,-4.333333333333334
Growth 5yr Low Est,-2.0
Growth 5yr High Est,-6.666666666666667
Growth 5yr Consensus Est,-4.333333333333334
Growth 5yr Actual/Est,-2.25
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),3.20655
Price/Book (MRQ),6.55682
Price/Cash Flow (TTM),
5yr Low,10.86
5yr High,60.3
5yr Avg Return,-0.39815
Short Int Current Month,15453410.0
Short Int Prev Month,16845229.0
Short Int Pct of Float,0.1738635
Days to Cover,8.56704
Float,69.30813
Shares Outstanding,115.6241
Institutions Holding Shares,197.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5760000000000001
Operating Profit Margin (TTM),-0.2316
Net Profit Margin (TTM),-0.2328
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.26239999999999997
EPS Growth (TTM),
Revenue Growth (MRQ),-0.005699999999999999
Revenue Growth (TTM),
Return On Equity (TTM),-0.4728
Return On Assets (TTM),-0.2695
Return On Investment (TTM),-0.35619999999999996
Revenue Per Employee (TTM),326360.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.9
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-01-24 00:00:00
ford since,2022-07-29 00:00:00
marketEdge opinion since,
