,AMED,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.64,29.13,Valuation,0.845863371095091
Price/Sales (TTM),1.33,1.32,Valuation,1.0075757575757576
Price/Book (MRQ),2.91,4.31,Valuation,0.6751740139211138
"PEG Ratio (TTM, GAAP)",4.36,0.26,Valuation,16.76923076923077
Gross Profit Margin (TTM),0.44520000000000004,0.1318,Profitability,3.3778452200303493
Operating Profit Margin (TTM),0.08230000000000001,0.0458,Profitability,1.7969432314410483
Net Profit Margin (TTM),0.0541,0.0242,Profitability,2.2355371900826446
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),-0.13140000000000002,-0.1478,Gowth rates,0.8890392422192154
EPS Growth (TTM),-0.445,-1.101,Gowth rates,0.4041780199818347
Revenue Growth (MRQ),0.0002,0.0931,Gowth rates,0.0021482277121374865
Revenue Growth (TTM),0.0068000000000000005,0.1191,Gowth rates,0.05709487825356843
EPS Growth (MRQ),-0.13140000000000002,-0.1478,Effectiveness,0.8890392422192154
EPS Growth (TTM),-0.445,-1.101,Effectiveness,0.4041780199818347
Revenue Growth (MRQ),0.0002,0.0931,Effectiveness,0.0021482277121374865
Revenue Growth (TTM),0.0068000000000000005,0.1191,Effectiveness,0.05709487825356843
Total Debt/Total Capital (MRQ),0.2989,0.4855,Financial strength,0.615653964984552
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0015,Financial strength,0.0
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),9.98,9.55,Financial strength,1.0450261780104713
