,KPTI
% Above Low,0.23500000000000001
% Held by Institutions,0.8298000000000001
52-Wk Range,['4.00 - 14.73']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,-0.1
Bid,
Bid Size,
Closing Price,4.94
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.09
Ex-dividend Date,No dividend
Historical Volatility,1.065
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,400.9M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,4.94
Short Interest,0.1845
Today's Open,
Volume,403412.0
Volume 10-day Avg,1580520.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.32781456953642396
Growth 1yr High Est,-0.32170542635658916
Growth 1yr Consensus Est,-0.32475999794650656
Growth 2yr Low Est,-0.2796708315662415
Growth 2yr High Est,-0.36656699889258026
Growth 2yr Consensus Est,-0.3231189152294109
Growth 5yr Low Est,-0.15894856563021556
Growth 5yr High Est,-0.22318577957658328
Growth 5yr Consensus Est,-0.19106717260339942
Growth 5yr Actual/Est,-0.16478784163406926
Growth 3yr Historic,-0.13716546401169163
Price/Earnings (TTM),
Price/Sales (TTM),1.60514
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,3.92
5yr High,29.61
5yr Avg Return,-0.017799999999999993
EPS Growth 5yr,
Revenue Growth 5yr,3.235111
Dividend Growth 5yr,
Short Int Current Month,13644408.0
Short Int Prev Month,13522863.0
Short Int Pct of Float,0.1844776
Days to Cover,5.63243
Float,74.05891
Shares Outstanding,81.15503
Institutions Holding Shares,195.0
FCF Growth 5yr,0.14868495759662215
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9836
Operating Profit Margin (TTM),-0.2457
Net Profit Margin (TTM),-0.35259999999999997
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.26480000000000004
EPS Growth (TTM),0.6046
Revenue Growth (MRQ),-0.0891
Revenue Growth (TTM),1.105
Return On Equity (TTM),
Return On Assets (TTM),-0.3629
Return On Investment (TTM),-0.4966
Revenue Per Employee (TTM),565075.0
Total Debt/Total Capital (MRQ),1.8627000000000002
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),3.54
Interest Coverage (MRQ),-5.65
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2015-03-06 00:00:00
theStreet since,2015-04-14 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
