,TREE
% Above Low,0.11570000000000001
% Held by Institutions,0.8262999999999999
52-Wk Range,['20.05 - 143.09']
Annual Dividend $,
Annual Dividend %,
Ask,24.05
Ask Size,100.0
Ask close,27.48
B/A Ratio,8.0
B/A Size,800x100
Beta,1.7
Bid,20.72
Bid Size,800.0
Bid close,17.16
Change Since Close,-0.37| |(-1.65%)
Closing Price,22.37
Day Change $,-1.22
Day Change %,-0.051699999999999996
Day High,23.38
Day Low,22.2
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-10.29
Ex-dividend Date,No dividend
Historical Volatility,0.773
Last (size),1.0
Last (time),4:00p ET 11/28/22
Last Trade,22.0
Market Cap,286.0M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,23.59
Short Interest,0.10439999999999999
Today's Open,23.38
Volume,235891.0
Volume 10-day Avg,266412.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-8.125
Growth 2yr High Est,6.583333333333333
Growth 2yr Consensus Est,-0.7708333333333335
Growth 5yr Low Est,-8.125
Growth 5yr High Est,6.583333333333333
Growth 5yr Consensus Est,-0.7708333333333335
Growth 5yr Actual/Est,0.24851293753753434
Growth 3yr Historic,-0.1768674587823524
Price/Earnings (TTM),
Price/Sales (TTM),0.28967
Price/Book (MRQ),1.4605
Price/Cash Flow (TTM),
5yr Low,20.05
5yr High,434.94
5yr Avg Return,-0.2192
EPS Growth 5yr,0.16928820000000003
Revenue Growth 5yr,0.2336808
Dividend Growth 5yr,
Short Int Current Month,1135071.0
Short Int Prev Month,1404811.0
Short Int Pct of Float,0.104425
Days to Cover,3.38698
Float,10.88021
Shares Outstanding,12.78563
Institutions Holding Shares,228.0
FCF Growth 5yr,0.11254622444177198
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9436
Operating Profit Margin (TTM),-0.032100000000000004
Net Profit Margin (TTM),-0.12400000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-18.6874
EPS Growth (TTM),-10.122200000000001
Revenue Growth (MRQ),-0.092
Revenue Growth (TTM),-0.0201
Return On Equity (TTM),-0.405
Return On Assets (TTM),-0.1035
Return On Investment (TTM),-0.1218
Revenue Per Employee (TTM),740030.0
Total Debt/Total Capital (MRQ),0.798
Change in Debt/Total Capital Quarter over Quarter,0.0036
Quick Ratio (MRQ),
Interest Coverage (MRQ),-3.08
