,TREE
Price/Earnings (TTM),
Price/Sales (TTM),0.28967
Price/Book (MRQ),1.4605
Price/Cash Flow (TTM),
5yr Low,20.05
5yr High,434.94
5yr Avg Return,-0.2192
EPS Growth 5yr,0.16928820000000003
Revenue Growth 5yr,0.2336808
Dividend Growth 5yr,
Short Int Current Month,1135071.0
Short Int Prev Month,1404811.0
Short Int Pct of Float,0.104425
Days to Cover,3.38698
Float,10.88021
Shares Outstanding,12.78563
Institutions Holding Shares,228.0
% Held by Institutions,0.826325
FCF Growth 5yr,0.11254622444177198
