,TREE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,8.59,Valuation,
Price/Sales (TTM),0.29,1.88,Valuation,0.15425531914893617
Price/Book (MRQ),1.46,3.02,Valuation,0.4834437086092715
"PEG Ratio (TTM, GAAP)",,1.78,Valuation,
Gross Profit Margin (TTM),0.9436,0.38079999999999997,Profitability,2.4779411764705883
Operating Profit Margin (TTM),-0.032100000000000004,0.2543,Profitability,-0.12622886354699175
Net Profit Margin (TTM),-0.12400000000000001,0.19039999999999999,Profitability,-0.6512605042016808
Annual Dividend Yield,,0.0187,Dividend,
Dividend Change %,,0.242,Dividend,
"Dividend Growth Rate, 3 Years",,0.0575,Dividend,
EPS Growth (MRQ),-18.6874,-0.1573,Gowth rates,118.80101716465353
EPS Growth (TTM),-10.122200000000001,-0.04820000000000001,Gowth rates,210.00414937759336
Revenue Growth (MRQ),-0.092,0.2511,Gowth rates,-0.3663878932696137
Revenue Growth (TTM),-0.0201,0.21670000000000003,Gowth rates,-0.09275496077526534
Return On Equity (TTM),-0.405,0.2596,Effectiveness,-1.5600924499229585
Return On Assets (TTM),-0.1035,0.0326,Effectiveness,-3.1748466257668713
Return On Investment (TTM),-0.1218,0.0432,Effectiveness,-2.8194444444444446
Revenue Per Employee (TTM),740030.0,448656.0,Effectiveness,1.6494374309047466
Total Debt/Total Capital (MRQ),0.798,0.4919,Financial strength,1.6222809514128889
Change in Debt/Total Capital Quarter over Quarter,0.0036,0.0012,Financial strength,3.0
Quick Ratio (MRQ),,0.05,Financial strength,
Interest Coverage (MRQ),-3.08,16.82,Financial strength,-0.18311533888228299
