,UFPT
% Below High,0.026699999999999998
% Held by Institutions,0.857
52-Wk Range,['56.10 - 119.85']
Annual Dividend $,
Annual Dividend %,
Ask,117.07
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.8
Bid,116.65
Bid Size,400.0
Closing Price,116.65
Day Change $,-1.18
Day Change %,-0.01
Day High,118.26
Day Low,116.16
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.79
Ex-dividend Date,No dividend
Historical Volatility,0.409
Last (size),290.0
Last (time),4:00p ET 11/28/22
Market Cap,884.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.62
Prev Close,117.83
Short Interest,0.0127
Today's Open,117.34
Volume,31799.0
Volume 10-day Avg,78575.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-07 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.7632850241545894
Growth 1yr High Est,1.5167464114832536
Growth 1yr Consensus Est,1.1400157178189216
Growth 2yr Low Est,0.45698497783071945
Growth 2yr High Est,0.6880310004184329
Growth 2yr Consensus Est,0.5725079891245761
Growth 5yr Low Est,0.45698497783071945
Growth 5yr High Est,0.6880310004184329
Growth 5yr Consensus Est,0.5725079891245762
Growth 5yr Actual/Est,0.2413361324839245
Growth 3yr Historic,-0.03655130931666348
Price/Earnings (TTM),24.61782
Price/Sales (TTM),2.80023
Price/Book (MRQ),3.94849
Price/Cash Flow (TTM),18.64896
5yr Low,26.02
5yr High,119.85
5yr Avg Return,0.30995
EPS Growth 5yr,0.1374813
Revenue Growth 5yr,0.0714186
Dividend Growth 5yr,
Short Int Current Month,90225.0
Short Int Prev Month,100397.0
Short Int Pct of Float,0.0127189
Days to Cover,0.93322
Float,7.09311
Shares Outstanding,7.5786
Institutions Holding Shares,170.0
FCF Growth 5yr,-0.26723803852928896
"Price/Earnings (TTM, GAAP)",24.62
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.251
Operating Profit Margin (TTM),0.15410000000000001
Net Profit Margin (TTM),0.11460000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.1798
EPS Growth (TTM),1.158
Revenue Growth (MRQ),0.0278
Revenue Growth (TTM),0.6343
Return On Equity (TTM),0.1753
Return On Assets (TTM),0.12
Return On Investment (TTM),0.13720000000000002
Revenue Per Employee (TTM),174452.0
Total Debt/Total Capital (MRQ),0.2395
Change in Debt/Total Capital Quarter over Quarter,4.5384
Quick Ratio (MRQ),1.33
Interest Coverage (MRQ),12.48
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-05 00:00:00
theStreet since,2017-05-02 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
