,TRIP
% Above Low,0.1529
% Held by Institutions,0.8347
52-Wk Range,['16.87 - 30.48']
Annual Dividend $,
Annual Dividend %,
Ask,19.68
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.3
Bid,19.45
Bid Size,300.0
Closing Price,19.45
Day Change $,-0.38
Day Change %,-0.0192
Day High,19.94
Day Low,19.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.07
Ex-dividend Date,No dividend
Historical Volatility,0.595
Last (size),179.0
Last (time),4:00p ET 11/28/22
Market Cap,2.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,19.83
Short Interest,0.1426
Today's Open,19.61
Volume,1869194.0
Volume 10-day Avg,2280515.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.6728395061728395
Growth 1yr High Est,-0.3910614525139664
Growth 1yr Consensus Est,-0.5319504793434029
Growth 2yr Low Est,0.040938737479618015
Growth 2yr High Est,0.10722156732099841
Growth 2yr Consensus Est,0.07408015240030821
Growth 5yr Low Est,0.020469368739809007
Growth 5yr High Est,0.053610783660499206
Growth 5yr Consensus Est,0.03704007620015412
Growth 5yr Actual/Est,-1.1206469553034446
Growth 3yr Historic,-0.6146573719701112
Price/Earnings (TTM),
Price/Sales (TTM),2.02163
Price/Book (MRQ),3.4281
Price/Cash Flow (TTM),30.30241
5yr Low,13.73
5yr High,69.0
5yr Avg Return,-0.05071666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.09429040000000001
Dividend Growth 5yr,
Short Int Current Month,14621671.0
Short Int Prev Month,14242387.0
Short Int Pct of Float,0.1425539
Days to Cover,3.45459
Float,102.6059
Shares Outstanding,140.5861
Institutions Holding Shares,385.0
FCF Growth 5yr,1.4554742419473297
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9239
Operating Profit Margin (TTM),0.0616
Net Profit Margin (TTM),-0.0051
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1991
EPS Growth (TTM),0.9336
Revenue Growth (MRQ),0.10070000000000001
Revenue Growth (TTM),0.7748
Return On Equity (TTM),-0.0087
Return On Assets (TTM),-0.0029
Return On Investment (TTM),-0.0036
Revenue Per Employee (TTM),512449.0
Total Debt/Total Capital (MRQ),0.526
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),10.0
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-08-30 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2018-11-08 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
