,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,10.87,14.94,16.33,12.15,,,,,
low,9.78,9.15,8.0,5.07,,,,,
change,0.0179,0.3354,-0.0989,-0.3237,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,219081.0,192979.0,163749.0,150388.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,13869.0,16115.0,15881.0,22468.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-27.0,-51.0,-46.0,-46.0,Balance Sheet
"Total Receivables, Net",,,,,13842.0,16064.0,15835.0,22422.0,Balance Sheet
Invent. - Finished Goods,,,,,2151.0,4225.0,5437.0,4069.0,Balance Sheet
Invent. - Work In Progress,,,,,6301.0,5084.0,4867.0,5264.0,Balance Sheet
Invent. - Raw Materials,,,,,2380.0,3824.0,4730.0,4241.0,Balance Sheet
LIFO Reserve,,,,,-1752.0,-2298.0,-2468.0,-1995.0,Balance Sheet
Total Inventory,,,,,9080.0,10835.0,12566.0,11579.0,Balance Sheet
Prepaid Expenses,,,,,5648.0,6821.0,6910.0,9507.0,Balance Sheet
"Other Curr. Assets, Total",,,,,383.0,383.0,383.0,383.0,Balance Sheet
Total Current Assets,,,,,248034.0,227082.0,199443.0,194279.0,Balance Sheet
Buildings,,,,,,543.0,607.0,702.0,Balance Sheet
Machinery/Equipment,,,,,,7750.0,8074.0,8944.0,Balance Sheet
Construction in Progress,,,,,,0.0,128.0,1111.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,23214.0,21095.0,19894.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,31507.0,29904.0,30651.0,Balance Sheet
Accumulated Depreciation,,,,,,-6861.0,-7659.0,-8303.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,11090.0,24646.0,22245.0,22348.0,Balance Sheet
"Goodwill, Net",,,,,115206.0,130416.0,125738.0,142038.0,Balance Sheet
Intangibles - Gross,,,,,74073.0,119593.0,116207.0,79687.0,Balance Sheet
Accum. Intangible Amort.,,,,,-9347.0,-14808.0,-18889.0,-18823.0,Balance Sheet
Intangibles - Net,,,,,96285.0,104785.0,97318.0,60864.0,Balance Sheet
Other Long Term Assets,,,,,270.0,297.0,1623.0,1874.0,Balance Sheet
Total Assets,,,,,470885.0,487226.0,446367.0,421403.0,Balance Sheet
Accounts Payable,,,,,5441.0,6770.0,7608.0,8473.0,Balance Sheet
Accrued Expenses,,,,,18643.0,16905.0,12628.0,13631.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,2275.0,12262.0,13204.0,13082.0,Balance Sheet
Customer Advances,,,,,7356.0,8550.0,8136.0,9600.0,Balance Sheet
Other Current Liabilities,,,,,0.0,12513.0,8964.0,10520.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,7356.0,21063.0,17100.0,20120.0,Balance Sheet
Total Current Liabilities,,,,,33715.0,57000.0,50540.0,55306.0,Balance Sheet
Total Long Term Debt,,,,,5618.0,5306.0,4795.0,4170.0,Balance Sheet
Total Debt,,,,,7893.0,17568.0,17999.0,17252.0,Balance Sheet
Deferred Income Tax,,,,,21164.0,24176.0,23320.0,11885.0,Balance Sheet
Minority Interest,,,,,-21189.0,-16563.0,-14255.0,-18978.0,Balance Sheet
"Other Liabilities, Total",,,,,118531.0,83484.0,56415.0,73693.0,Balance Sheet
Total Liabilities,,,,,157839.0,153403.0,120815.0,126076.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,,0.0,Balance Sheet
Common Stock,,,,,14.0,14.0,15.0,16.0,Balance Sheet
Additional Paid-In Capital,,,,,514891.0,523972.0,527807.0,544997.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-200416.0,-189583.0,-193818.0,-231425.0,Balance Sheet
"Other Equity, Total",,,,,-1443.0,-580.0,-8452.0,-18261.0,Balance Sheet
Total Equity,,,,,313046.0,333823.0,325552.0,295327.0,Balance Sheet
