,AJRD
% Below High,0.0181
% Held by Institutions,0.9109999999999999
52-Wk Range,['35.47 - 51.93']
Annual Dividend $,
Annual Dividend %,
Ask,52.0
Ask Size,100.0
B/A Ratio,15.0
B/A Size,1500x100
Beta,0.6
Bid,50.05
Bid Size,1500.0
Closing Price,50.99
Day Change $,0.31
Day Change %,0.0060999999999999995
Day High,51.2
Day Low,50.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.14
Ex-dividend Date,No dividend
Historical Volatility,0.36200000000000004
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,4.1B
"P/E Ratio (TTM, GAAP)",44.75
Prev Close,50.68
Short Interest,0.030299999999999997
Today's Open,50.99
Volume,172079.0
Volume 10-day Avg,551118.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-17 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.2211055276381909
Growth 1yr High Est,-0.14146341463414625
Growth 1yr Consensus Est,-0.18128447113616858
Growth 2yr Low Est,-0.004101150915869656
Growth 2yr High Est,0.0372228381374724
Growth 2yr Consensus Est,0.016560843610801373
Growth 5yr Low Est,0.08112334173742859
Growth 5yr High Est,0.08420219860505822
Growth 5yr Consensus Est,0.0826627701712434
Growth 5yr Actual/Est,0.05604208480385192
Growth 3yr Historic,0.04224887716546663
Price/Earnings (TTM),44.75202
Price/Sales (TTM),1.88443
Price/Book (MRQ),7.61306
Price/Cash Flow (TTM),26.50975
5yr Low,24.41
5yr High,57.27
5yr Avg Return,0.09871666666666667
EPS Growth 5yr,0.4551685
Revenue Growth 5yr,0.0443421
Dividend Growth 5yr,
Short Int Current Month,2358126.0
Short Int Prev Month,2123456.0
Short Int Pct of Float,0.0303439
Days to Cover,4.12252
Float,77.74054
Shares Outstanding,80.53265
Institutions Holding Shares,330.0
FCF Growth 5yr,-0.36368223707877917
"Price/Earnings (TTM, GAAP)",44.75
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1539
Operating Profit Margin (TTM),0.0766
Net Profit Margin (TTM),0.044000000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1174
EPS Growth (TTM),-0.33530000000000004
Revenue Growth (MRQ),0.0403
Revenue Growth (TTM),0.0113
Return On Equity (TTM),0.20620000000000002
Return On Assets (TTM),0.0414
Return On Investment (TTM),0.0634
Revenue Per Employee (TTM),435820.0
Total Debt/Total Capital (MRQ),0.3688
Change in Debt/Total Capital Quarter over Quarter,-0.0032
Quick Ratio (MRQ),1.23
Interest Coverage (MRQ),23.86
newConstructs,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-11-04 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
theStreet since,2022-05-23 00:00:00
marketEdge opinion since,
