,URI
% Below High,0.057800000000000004
% Held by Institutions,0.9052
52-Wk Range,['230.54 - 368.90']
Annual Dividend $,
Annual Dividend %,
Ask,352.45
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.9
Bid,347.0
Bid Size,100.0
Closing Price,347.59
Day Change $,-11.44
Day Change %,-0.0319
Day High,358.76
Day Low,345.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",27.18
Ex-dividend Date,No dividend
Historical Volatility,0.41500000000000004
Last (size),15.0
Last (time),7:00p ET 11/28/22
Market Cap,24.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.21
Prev Close,359.03
Short Interest,0.0451
Today's Open,355.01
Volume,674055.0
Volume 10-day Avg,703181.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.7345679012345678
Growth 1yr High Est,0.6796204247627657
Growth 1yr Consensus Est,0.7070941629986668
Growth 2yr Low Est,0.3729455488055725
Growth 2yr High Est,0.4148707450690342
Growth 2yr Consensus Est,0.39390814693730336
Growth 5yr Low Est,0.22077398691076328
Growth 5yr High Est,0.23350822682593425
Growth 5yr Consensus Est,0.22714110686834876
Growth 5yr Actual/Est,0.18943590861004914
Growth 3yr Historic,0.03958771995788837
Price/Earnings (TTM),13.21078
Price/Sales (TTM),2.23735
Price/Book (MRQ),3.91684
Price/Cash Flow (TTM),6.04123
5yr Low,58.85
5yr High,414.99
5yr Avg Return,0.19958333333333333
EPS Growth 5yr,0.2417007
Revenue Growth 5yr,0.110153
Dividend Growth 5yr,
Short Int Current Month,3109344.0
Short Int Prev Month,3336324.0
Short Int Pct of Float,0.045107999999999995
Days to Cover,4.04126
Float,68.94016
Shares Outstanding,69.30848
Institutions Holding Shares,1155.0
FCF Growth 5yr,0.0967423444534408
"Price/Earnings (TTM, GAAP)",13.21
"PEG Ratio (TTM, GAAP)",0.59
Gross Profit Margin (TTM),0.41979999999999995
Operating Profit Margin (TTM),0.2655
Net Profit Margin (TTM),0.1751
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.252
EPS Growth (TTM),0.6439
Revenue Growth (MRQ),0.10099999999999999
Revenue Growth (TTM),0.2064
Return On Equity (TTM),0.329
Return On Assets (TTM),0.09330000000000001
Return On Investment (TTM),0.1061
Revenue Per Employee (TTM),545196.0
Total Debt/Total Capital (MRQ),0.6093999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),0.94
Interest Coverage (MRQ),8.68
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-04-22 00:00:00
theStreet since,2020-06-04 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-01-31 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
