,BZH
% Above Low,0.43820000000000003
% Held by Institutions,0.764
52-Wk Range,['9.47 - 23.97']
Annual Dividend $,
Annual Dividend %,
Ask,14.09
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,2.1
Bid,12.86
Bid Size,300.0
Closing Price,13.62
Day Change $,-0.03
Day Change %,-0.0022
Day High,13.73
Day Low,13.51
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.17
Ex-dividend Date,No dividend
Historical Volatility,0.5720000000000001
Last (size),14.0
Last (time),5:00p ET 11/25/22
Market Cap,420.6M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",1.9
Prev Close,13.65
Short Interest,0.055999999999999994
Today's Open,13.54
Volume,83195.0
Volume 10-day Avg,490174.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.23880597014925375
Growth 2yr High Est,0.3597733711048159
Growth 2yr Consensus Est,0.2992896706270348
Growth 5yr Low Est,0.23880597014925375
Growth 5yr High Est,0.3597733711048159
Growth 5yr Consensus Est,0.2992896706270348
Growth 5yr Actual/Est,0.4626110019136293
Growth 3yr Historic,0.5166097540240309
Price/Earnings (TTM),1.90041
Price/Sales (TTM),0.18152
Price/Book (MRQ),0.44777
Price/Cash Flow (TTM),1.79678
5yr Low,4.39
5yr High,26.12
5yr Avg Return,0.014383333333333326
EPS Growth 5yr,0.4871176
Revenue Growth 5yr,0.038707
Dividend Growth 5yr,
Short Int Current Month,1611287.0
Short Int Prev Month,1651681.0
Short Int Pct of Float,0.0559606
Days to Cover,3.47894
Float,28.89555
Shares Outstanding,30.88014
Institutions Holding Shares,193.0
FCF Growth 5yr,0.050854075856711756
"Price/Earnings (TTM, GAAP)",1.9
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.23329999999999998
Operating Profit Margin (TTM),0.1177
Net Profit Margin (TTM),0.0953
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6043000000000001
EPS Growth (TTM),0.7929
Revenue Growth (MRQ),0.5715
Revenue Growth (TTM),0.08259999999999999
Return On Equity (TTM),0.26530000000000004
Return On Assets (TTM),0.10189999999999999
Return On Investment (TTM),0.1173
Revenue Per Employee (TTM),2052248.0
Total Debt/Total Capital (MRQ),0.5115
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-02-02 00:00:00
